asset,market,n_bars,first_ts,last_ts,first_price,last_price,total_return_pct,ann_vol_pct
QQQ,xyz:XYZ100,186,2025-10-13 00:00:00+00:00,2026-04-16 00:00:00+00:00,24717.0000,26312.0000,6.4530,19.9528
NVDA,xyz:NVDA,156,2025-11-12 00:00:00+00:00,2026-04-16 00:00:00+00:00,194.6300,197.9700,1.7161,39.1096
TSLA,xyz:TSLA,155,2025-11-13 00:00:00+00:00,2026-04-16 00:00:00+00:00,400.6900,388.0200,-3.1620,39.8288
PLTR,xyz:PLTR,154,2025-11-14 00:00:00+00:00,2026-04-16 00:00:00+00:00,171.5300,142.7200,-16.7959,58.6325
AMZN,xyz:AMZN,150,2025-11-18 00:00:00+00:00,2026-04-16 00:00:00+00:00,222.8600,249.7900,12.0838,40.2955
GOOGL,xyz:GOOGL,150,2025-11-18 00:00:00+00:00,2026-04-16 00:00:00+00:00,282.6500,336.6900,19.1191,31.9157
MSFT,xyz:MSFT,149,2025-11-19 00:00:00+00:00,2026-04-16 00:00:00+00:00,490.5200,420.6200,-14.2502,28.7628
META,xyz:META,148,2025-11-20 00:00:00+00:00,2026-04-16 00:00:00+00:00,603.4200,677.5800,12.2899,35.7505
AAPL,xyz:AAPL,147,2025-11-21 00:00:00+00:00,2026-04-16 00:00:00+00:00,266.8100,264.1500,-0.9970,22.1916
COIN,xyz:COIN,143,2025-11-25 00:00:00+00:00,2026-04-16 00:00:00+00:00,245.6700,198.1300,-19.3512,73.9720
MSTR,xyz:MSTR,136,2025-12-02 00:00:00+00:00,2026-04-16 00:00:00+00:00,181.9500,148.3300,-18.4776,83.0639
AMD,xyz:AMD,134,2025-12-04 00:00:00+00:00,2026-04-16 00:00:00+00:00,216.4500,277.1600,28.0480,60.8861
NFLX,xyz:NFLX,130,2025-12-08 00:00:00+00:00,2026-04-16 00:00:00+00:00,99.0100,97.6450,-1.3786,40.6821
GOLD,xyz:GOLD,116,2025-12-22 00:00:00+00:00,2026-04-16 00:00:00+00:00,4420.0000,4793.2000,8.4434,39.6331
SILVER,xyz:SILVER,112,2025-12-26 00:00:00+00:00,2026-04-16 00:00:00+00:00,73.6000,78.7530,7.0014,106.1743
OIL,xyz:CL,101,2026-01-06 00:00:00+00:00,2026-04-16 00:00:00+00:00,58.7260,90.0580,53.3529,85.0004
SPY,xyz:SP500,30,2026-03-18 00:00:00+00:00,2026-04-16 00:00:00+00:00,6600.0000,7042.5000,6.7045,22.1921
