coin,fundingRate,premium,time
xyz:AAPL,-0.0001659707,-0.0016277654,2025-11-21 15:00:00.047000+00:00
xyz:AAPL,0.0000111763,-0.0002105898,2025-11-21 16:00:00.015000+00:00
xyz:AAPL,0.0000125000,-0.0000790586,2025-11-21 17:00:00.023000+00:00
xyz:AAPL,0.0000125000,-0.0000118563,2025-11-21 18:00:00.006000+00:00
xyz:AAPL,0.0000125000,-0.0000903704,2025-11-21 19:00:00.093000+00:00
xyz:AAPL,0.0000125000,-0.0000600722,2025-11-21 20:00:00.034000+00:00
xyz:AAPL,0.0000125000,-0.0000093179,2025-11-21 21:00:00.031000+00:00
xyz:AAPL,0.0000125000,0.0000114580,2025-11-21 22:00:00.066000+00:00
xyz:AAPL,0.0000139879,0.0004119032,2025-11-21 23:00:00.002000+00:00
xyz:AAPL,0.0000018665,-0.0002850680,2025-11-22 00:00:00.049000+00:00
xyz:AAPL,0.0000118026,-0.0002055794,2025-11-22 01:00:00.034000+00:00
xyz:AAPL,0.0001419793,0.0014358342,2025-11-22 02:00:00.035000+00:00
xyz:AAPL,0.0001610677,0.0015885414,2025-11-22 03:00:00.083000+00:00
xyz:AAPL,0.0000125000,0.0001858152,2025-11-22 04:00:00.070000+00:00
xyz:AAPL,0.0000125000,0.0000779383,2025-11-22 05:00:00.036000+00:00
xyz:AAPL,0.0000125000,0.0000428033,2025-11-22 06:00:00.033000+00:00
xyz:AAPL,0.0000125000,0.0000184094,2025-11-22 07:00:00.060000+00:00
xyz:AAPL,0.0001614444,0.0015915554,2025-11-22 08:00:00.063000+00:00
xyz:AAPL,0.0003744752,0.0032958013,2025-11-22 09:00:00.011000+00:00
xyz:AAPL,0.0003357309,0.0029858468,2025-11-22 10:00:00.052000+00:00
xyz:AAPL,0.0000125000,0.0003941475,2025-11-22 11:00:00.092000+00:00
xyz:AAPL,0.0000125000,0.0001031749,2025-11-22 12:00:00.045000+00:00
xyz:AAPL,0.0000125000,0.0000653476,2025-11-22 13:00:00.078000+00:00
xyz:AAPL,0.0000125000,0.0000309239,2025-11-22 14:00:00.013000+00:00
xyz:AAPL,0.0000125000,0.0000183702,2025-11-22 15:00:00.010000+00:00
xyz:AAPL,0.0000125000,0.0000183702,2025-11-22 16:00:00.011000+00:00
xyz:AAPL,0.0000125000,0.0000183702,2025-11-22 17:00:00.019000+00:00
xyz:AAPL,0.0000125000,0.0000724296,2025-11-22 18:00:00.003000+00:00
xyz:AAPL,0.0000125000,0.0000322538,2025-11-22 19:00:00.027000+00:00
xyz:AAPL,0.0000125000,0.0000212015,2025-11-22 20:00:00.045000+00:00
xyz:AAPL,0.0002334884,0.0021679075,2025-11-22 21:00:00.055000+00:00
xyz:AAPL,0.0000460845,0.0006686759,2025-11-22 22:00:00.053000+00:00
xyz:AAPL,0.0000125000,0.0002742901,2025-11-22 23:00:00.085000+00:00
xyz:AAPL,0.0000125000,0.0001019932,2025-11-23 00:00:00.020000+00:00
xyz:AAPL,0.0000125000,0.0000542005,2025-11-23 01:00:00.093000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 02:00:00.046000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 03:00:00.024000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 04:00:00.004000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 05:00:00.012000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 06:00:00.007000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 07:00:00.051000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 08:00:00.064000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 09:00:00.008000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 10:00:00.023000+00:00
xyz:AAPL,0.0000125000,0.0000183379,2025-11-23 11:00:00.097000+00:00
xyz:AAPL,0.0000125000,0.0002126529,2025-11-23 12:00:00.010000+00:00
xyz:AAPL,0.0001736913,0.0016895306,2025-11-23 13:00:00.086000+00:00
xyz:AAPL,-0.0001671344,-0.0016370750,2025-11-23 14:00:00.004000+00:00
xyz:AAPL,-0.0000784396,-0.0009275165,2025-11-23 15:00:00.040000+00:00
xyz:AAPL,0.0000214075,0.0004712601,2025-11-23 16:00:00.021000+00:00
xyz:AAPL,0.0000125000,-0.0001721511,2025-11-23 17:00:00.005000+00:00
xyz:AAPL,0.0000125000,-0.0000974737,2025-11-23 18:00:00.020000+00:00
xyz:AAPL,0.0000204253,0.0004634027,2025-11-23 19:00:00.042000+00:00
xyz:AAPL,0.0000412672,0.0006301378,2025-11-23 20:00:00.076000+00:00
xyz:AAPL,0.0000125000,0.0000197068,2025-11-23 21:00:00.083000+00:00
xyz:AAPL,0.0000688565,0.0008508520,2025-11-23 22:00:00.032000+00:00
xyz:AAPL,0.0005173371,0.0044386967,2025-11-23 23:00:00.050000+00:00
xyz:AAPL,0.0002336727,0.0021693818,2025-11-24 00:00:00.051000+00:00
xyz:AAPL,0.0000619178,0.0007953422,2025-11-24 01:00:00.030000+00:00
xyz:AAPL,0.0003024098,0.0027192783,2025-11-24 02:00:00.067000+00:00
xyz:AAPL,0.0001011488,0.0011091907,2025-11-24 03:00:00.010000+00:00
