coin,fundingRate,premium,time
xyz:AMD,0.0000120526,-0.0002035794,2025-12-04 15:00:00.047000+00:00
xyz:AMD,0.0000125000,-0.0000199926,2025-12-04 16:00:00.010000+00:00
xyz:AMD,0.0000125000,0.0000084299,2025-12-04 17:00:00.054000+00:00
xyz:AMD,0.0000125000,-0.0000174286,2025-12-04 18:00:00.008000+00:00
xyz:AMD,0.0000125000,-0.0000011297,2025-12-04 19:00:00.044000+00:00
xyz:AMD,0.0000125000,0.0000015306,2025-12-04 20:00:00.021000+00:00
xyz:AMD,0.0000125000,0.0000464496,2025-12-04 21:00:00.078000+00:00
xyz:AMD,0.0000137473,0.0004099787,2025-12-04 22:00:00.034000+00:00
xyz:AMD,0.0000192952,0.0004543614,2025-12-04 23:00:00.015000+00:00
xyz:AMD,0.0000134228,0.0004073820,2025-12-05 00:00:00.002000+00:00
xyz:AMD,0.0000125000,0.0001364461,2025-12-05 01:00:00.035000+00:00
xyz:AMD,0.0000125000,0.0003777440,2025-12-05 02:00:00.021000+00:00
xyz:AMD,0.0000125000,0.0002473853,2025-12-05 03:00:00.048000+00:00
xyz:AMD,-0.0000787926,-0.0009303410,2025-12-05 04:00:00.066000+00:00
xyz:AMD,-0.0001341956,-0.0013735647,2025-12-05 05:00:00.044000+00:00
xyz:AMD,-0.0000516373,-0.0007130980,2025-12-05 06:00:00.033000+00:00
xyz:AMD,0.0001358856,0.0013870850,2025-12-05 07:00:00.050000+00:00
xyz:AMD,0.0000125000,0.0002427610,2025-12-05 08:00:00.032000+00:00
xyz:AMD,0.0000125000,0.0003791929,2025-12-05 09:00:00.019000+00:00
xyz:AMD,0.0000765156,0.0009121246,2025-12-05 10:00:00.035000+00:00
xyz:AMD,0.0001174232,0.0012393858,2025-12-05 11:00:00.077000+00:00
xyz:AMD,0.0000562772,0.0007502173,2025-12-05 12:00:00.030000+00:00
xyz:AMD,0.0000443731,0.0006549851,2025-12-05 13:00:00.062000+00:00
xyz:AMD,0.0000474539,0.0006796310,2025-12-05 14:00:00.047000+00:00
xyz:AMD,0.0000711150,0.0008689200,2025-12-05 15:00:00.036000+00:00
xyz:AMD,0.0000125000,0.0002844768,2025-12-05 16:00:00+00:00
xyz:AMD,0.0000126289,0.0004010313,2025-12-05 17:00:00.026000+00:00
xyz:AMD,0.0000125000,0.0003917578,2025-12-05 18:00:00.054000+00:00
xyz:AMD,0.0000125000,0.0003906403,2025-12-05 19:00:00.086000+00:00
xyz:AMD,0.0000125000,0.0000756824,2025-12-05 20:00:00.004000+00:00
xyz:AMD,0.0000125000,0.0002005921,2025-12-05 21:00:00.036000+00:00
xyz:AMD,0.0000125000,0.0000747745,2025-12-05 22:00:00.035000+00:00
xyz:AMD,0.0000125000,-0.0001070414,2025-12-05 23:00:00.012000+00:00
xyz:AMD,0.0000125000,-0.0001596028,2025-12-06 00:00:00.052000+00:00
xyz:AMD,0.0000107010,-0.0002143921,2025-12-06 01:00:00.110000+00:00
xyz:AMD,0.0000125000,-0.0001544946,2025-12-06 02:00:00.011000+00:00
xyz:AMD,0.0000125000,-0.0000920147,2025-12-06 03:00:00.053000+00:00
xyz:AMD,0.0000125000,-0.0000922091,2025-12-06 04:00:00.025000+00:00
xyz:AMD,0.0000125000,-0.0000931046,2025-12-06 05:00:00.044000+00:00
xyz:AMD,0.0000125000,0.0001329429,2025-12-06 06:00:00.010000+00:00
xyz:AMD,-0.0000187114,-0.0004496913,2025-12-06 07:00:00.052000+00:00
xyz:AMD,-0.0000060683,-0.0003485461,2025-12-06 08:00:00.049000+00:00
xyz:AMD,-0.0000028400,-0.0003227204,2025-12-06 09:00:00.050000+00:00
xyz:AMD,0.0000125000,-0.0001752437,2025-12-06 10:00:00.024000+00:00
xyz:AMD,0.0000125000,-0.0001498348,2025-12-06 11:00:00.005000+00:00
