coin,fundingRate,premium,time
xyz:AMZN,0.0003001399,0.0027011194,2025-11-18 18:00:00.026000+00:00
xyz:AMZN,0.0000125000,0.0000187723,2025-11-18 19:00:00.025000+00:00
xyz:AMZN,0.0000125000,0.0000016962,2025-11-18 20:00:00.006000+00:00
xyz:AMZN,0.0000125000,0.0001423961,2025-11-18 21:00:00.030000+00:00
xyz:AMZN,0.0000125000,-0.0001180403,2025-11-18 22:00:00.011000+00:00
xyz:AMZN,0.0000125000,-0.0001668593,2025-11-18 23:00:00.026000+00:00
xyz:AMZN,0.0000125000,-0.0001672334,2025-11-19 00:00:00.026000+00:00
xyz:AMZN,0.0000125000,0.0002853722,2025-11-19 01:00:00.092000+00:00
xyz:AMZN,0.0000125000,-0.0001260688,2025-11-19 02:00:00.049000+00:00
xyz:AMZN,-0.0001935675,-0.0018485399,2025-11-19 03:00:00.012000+00:00
xyz:AMZN,0.0000109097,-0.0002127228,2025-11-19 04:00:00.054000+00:00
xyz:AMZN,0.0000125000,0.0001773511,2025-11-19 05:00:00.003000+00:00
xyz:AMZN,0.0000125000,0.0001700661,2025-11-19 06:00:00.026000+00:00
xyz:AMZN,-0.0000503471,-0.0007027765,2025-11-19 07:00:00.048000+00:00
xyz:AMZN,-0.0001325554,-0.0013604432,2025-11-19 08:00:00.018000+00:00
xyz:AMZN,-0.0000525098,-0.0007200780,2025-11-19 09:00:00.048000+00:00
xyz:AMZN,0.0000125000,0.0003396006,2025-11-19 10:00:00.012000+00:00
xyz:AMZN,0.0000125000,0.0000725851,2025-11-19 11:00:00.095000+00:00
xyz:AMZN,0.0000125000,0.0001846049,2025-11-19 12:00:00.026000+00:00
xyz:AMZN,0.0000125000,0.0003326927,2025-11-19 13:00:00.042000+00:00
xyz:AMZN,0.0000125000,0.0003395882,2025-11-19 14:00:00.002000+00:00
xyz:AMZN,0.0000125000,0.0002352943,2025-11-19 15:00:00.004000+00:00
xyz:AMZN,0.0000125000,-0.0001292813,2025-11-19 16:00:00.036000+00:00
xyz:AMZN,0.0000125000,-0.0000004166,2025-11-19 17:00:00.080000+00:00
xyz:AMZN,-0.0000237070,-0.0004896558,2025-11-19 18:00:00.054000+00:00
xyz:AMZN,0.0000125000,-0.0000563273,2025-11-19 19:00:00.006000+00:00
xyz:AMZN,0.0000125000,-0.0000034892,2025-11-19 20:00:00.045000+00:00
xyz:AMZN,-0.0000032193,-0.0003257541,2025-11-19 21:00:00.018000+00:00
xyz:AMZN,0.0001209221,0.0012673771,2025-11-19 22:00:00.034000+00:00
xyz:AMZN,0.0000125000,0.0003849631,2025-11-19 23:00:00.027000+00:00
xyz:AMZN,0.0000310771,0.0005486166,2025-11-20 00:00:00.071000+00:00
xyz:AMZN,0.0000292063,0.0005336503,2025-11-20 01:00:00.114000+00:00
xyz:AMZN,-0.0000630410,-0.0008043277,2025-11-20 02:00:00.030000+00:00
xyz:AMZN,-0.0000613246,-0.0007905970,2025-11-20 03:00:00.050000+00:00
xyz:AMZN,0.0000125000,-0.0001234236,2025-11-20 04:00:00.005000+00:00
xyz:AMZN,0.0000380957,0.0006047657,2025-11-20 05:00:00.045000+00:00
xyz:AMZN,0.0000283987,0.0005271895,2025-11-20 06:00:00.003000+00:00
xyz:AMZN,0.0000125000,0.0002495792,2025-11-20 07:00:00.046000+00:00
xyz:AMZN,0.0000125000,0.0000166399,2025-11-20 08:00:00+00:00
xyz:AMZN,0.0000125000,0.0000704306,2025-11-20 09:00:00.039000+00:00
xyz:AMZN,0.0000822411,0.0009579285,2025-11-20 10:00:00.112000+00:00
xyz:AMZN,0.0000125000,-0.0001592103,2025-11-20 11:00:00.052000+00:00
xyz:AMZN,0.0000125000,-0.0000403294,2025-11-20 12:00:00.004000+00:00
xyz:AMZN,0.0000125000,0.0002479532,2025-11-20 13:00:00.051000+00:00
xyz:AMZN,0.0000125000,0.0002159526,2025-11-20 14:00:00.045000+00:00
xyz:AMZN,0.0000125000,-0.0000397339,2025-11-20 15:00:00.022000+00:00
xyz:AMZN,0.0000125000,0.0000948606,2025-11-20 16:00:00.039000+00:00
xyz:AMZN,0.0000125000,0.0001072428,2025-11-20 17:00:00.059000+00:00
xyz:AMZN,0.0000125000,-0.0000029330,2025-11-20 18:00:00.035000+00:00
xyz:AMZN,0.0000050623,-0.0002595012,2025-11-20 19:00:00.088000+00:00
xyz:AMZN,0.0000067535,-0.0002459717,2025-11-20 20:00:00.054000+00:00
xyz:AMZN,0.0000047227,-0.0002622183,2025-11-20 21:00:00+00:00
xyz:AMZN,-0.0000074190,-0.0003593516,2025-11-20 22:00:00.129000+00:00
xyz:AMZN,0.0000125000,-0.0001501855,2025-11-20 23:00:00.006000+00:00
xyz:AMZN,0.0000085956,-0.0002312351,2025-11-21 00:00:00.037000+00:00
xyz:AMZN,0.0000125000,0.0001536295,2025-11-21 01:00:00.053000+00:00
xyz:AMZN,-0.0000889214,-0.0010113712,2025-11-21 02:00:00.169000+00:00
xyz:AMZN,-0.0000427374,-0.0006418991,2025-11-21 03:00:00.141000+00:00
xyz:AMZN,-0.0000693229,-0.0008545834,2025-11-21 04:00:00.006000+00:00
xyz:AMZN,0.0000035017,-0.0002719863,2025-11-21 05:00:00.005000+00:00
xyz:AMZN,-0.0000221457,-0.0004771660,2025-11-21 06:00:00.054000+00:00
xyz:AMZN,-0.0001206432,-0.0012651457,2025-11-21 07:00:00.092000+00:00
xyz:AMZN,-0.0002183931,-0.0020471449,2025-11-21 08:00:00.103000+00:00
xyz:AMZN,-0.0001303673,-0.0013429383,2025-11-21 09:00:00.003000+00:00
xyz:AMZN,-0.0000185576,-0.0004484610,2025-11-21 10:00:00.007000+00:00
xyz:AMZN,-0.0000403468,-0.0006227747,2025-11-21 11:00:00.009000+00:00
xyz:AMZN,0.0000125000,-0.0000916650,2025-11-21 12:00:00.005000+00:00
xyz:AMZN,-0.0000077568,-0.0003620543,2025-11-21 13:00:00.102000+00:00
xyz:AMZN,0.0000125000,-0.0000571840,2025-11-21 14:00:00.044000+00:00
xyz:AMZN,0.0000125000,-0.0001341700,2025-11-21 15:00:00.047000+00:00
xyz:AMZN,0.0000125000,-0.0000451960,2025-11-21 16:00:00.015000+00:00
xyz:AMZN,0.0000125000,0.0000630224,2025-11-21 17:00:00.023000+00:00
xyz:AMZN,0.0000125000,0.0001039212,2025-11-21 18:00:00.006000+00:00
xyz:AMZN,0.0000125000,-0.0000144734,2025-11-21 19:00:00.093000+00:00
xyz:AMZN,0.0000125000,-0.0000442578,2025-11-21 20:00:00.034000+00:00
xyz:AMZN,0.0000125000,-0.0000218270,2025-11-21 21:00:00.031000+00:00
xyz:AMZN,0.0000120683,-0.0002034538,2025-11-21 22:00:00.066000+00:00
xyz:AMZN,0.0000125000,0.0002867288,2025-11-21 23:00:00.002000+00:00
xyz:AMZN,0.0000125000,0.0000184076,2025-11-22 00:00:00.049000+00:00
xyz:AMZN,-0.0000105630,-0.0003845043,2025-11-22 01:00:00.034000+00:00
xyz:AMZN,-0.0000249440,-0.0004995519,2025-11-22 02:00:00.035000+00:00
xyz:AMZN,0.0000122829,-0.0002017365,2025-11-22 03:00:00.083000+00:00
xyz:AMZN,-0.0000518103,-0.0007144828,2025-11-22 04:00:00.070000+00:00
xyz:AMZN,-0.0000341670,-0.0005733357,2025-11-22 05:00:00.036000+00:00
xyz:AMZN,0.0000125000,-0.0001871149,2025-11-22 06:00:00.033000+00:00
xyz:AMZN,0.0000125000,-0.0000836042,2025-11-22 07:00:00.060000+00:00
xyz:AMZN,0.0000125000,-0.0000429028,2025-11-22 08:00:00.063000+00:00
xyz:AMZN,0.0000125000,-0.0000227807,2025-11-22 09:00:00.011000+00:00
xyz:AMZN,0.0000125000,0.0001174402,2025-11-22 10:00:00.052000+00:00
xyz:AMZN,0.0000125000,0.0002190352,2025-11-22 11:00:00.092000+00:00
xyz:AMZN,0.0000125000,0.0002908087,2025-11-22 12:00:00.045000+00:00
xyz:AMZN,0.0000125000,0.0000783651,2025-11-22 13:00:00.078000+00:00
xyz:AMZN,0.0000125000,0.0000672890,2025-11-22 14:00:00.013000+00:00
xyz:AMZN,-0.0000016034,-0.0003128270,2025-11-22 15:00:00.010000+00:00
xyz:AMZN,0.0000125000,0.0001304442,2025-11-22 16:00:00.011000+00:00
xyz:AMZN,0.0000125000,0.0000465418,2025-11-22 17:00:00.019000+00:00
xyz:AMZN,0.0000125000,0.0002678718,2025-11-22 18:00:00.003000+00:00
xyz:AMZN,0.0000125000,0.0003738073,2025-11-22 19:00:00.027000+00:00
xyz:AMZN,0.0000125000,0.0001937073,2025-11-22 20:00:00.045000+00:00
xyz:AMZN,0.0000125000,0.0003145202,2025-11-22 21:00:00.055000+00:00
xyz:AMZN,0.0000125000,0.0002846472,2025-11-22 22:00:00.053000+00:00
xyz:AMZN,0.0000125000,0.0001275030,2025-11-22 23:00:00.085000+00:00
xyz:AMZN,0.0000125000,0.0000659173,2025-11-23 00:00:00.020000+00:00
xyz:AMZN,0.0000125000,0.0000166502,2025-11-23 01:00:00.093000+00:00
xyz:AMZN,0.0000125000,0.0000223592,2025-11-23 02:00:00.046000+00:00
