timestamp,funding_rate,funding_mean_hourly,n_hours,premium_mean
2025-11-25 00:00:00+00:00,-0.0001014171,-0.0000169029,6,-0.0003313665
2025-11-26 00:00:00+00:00,0.0011167443,0.0000465310,24,0.0005350815
2025-11-27 00:00:00+00:00,0.0007890804,0.0000328783,24,0.0002943524
2025-11-28 00:00:00+00:00,0.0016365913,0.0000681913,24,0.0006485733
2025-11-29 00:00:00+00:00,-0.0012180222,-0.0000507509,24,-0.0006224100
2025-11-30 00:00:00+00:00,0.0005221787,0.0000217574,24,0.0001050921
2025-12-01 00:00:00+00:00,0.0000497330,0.0000020722,24,-0.0001068207
2025-12-02 00:00:00+00:00,0.0005399896,0.0000224996,24,0.0001498983
2025-12-03 00:00:00+00:00,0.0001499201,0.0000062467,24,0.0000144433
2025-12-04 00:00:00+00:00,-0.0008883828,-0.0000370160,24,-0.0005857776
2025-12-05 00:00:00+00:00,-0.0006240804,-0.0000260033,24,-0.0004852197
2025-12-06 00:00:00+00:00,-0.0012028610,-0.0000501192,24,-0.0006117532
2025-12-07 00:00:00+00:00,0.0012884402,0.0000536850,24,0.0003833175
2025-12-08 00:00:00+00:00,0.0003314517,0.0000138105,24,0.0001213703
2025-12-09 00:00:00+00:00,0.0006149686,0.0000256237,24,0.0002110604
2025-12-10 00:00:00+00:00,0.0003276723,0.0000136530,24,0.0000858077
2025-12-11 00:00:00+00:00,-0.0007718939,-0.0000321622,24,-0.0003857836
2025-12-12 00:00:00+00:00,0.0002768716,0.0000115363,24,0.0000893791
2025-12-13 00:00:00+00:00,0.0000330854,0.0000013786,24,-0.0000148138
2025-12-14 00:00:00+00:00,-0.0032038562,-0.0001334940,24,-0.0013620585
2025-12-15 00:00:00+00:00,-0.0002546767,-0.0000106115,24,-0.0001975238
2025-12-16 00:00:00+00:00,0.0004410806,0.0000183784,24,0.0002193706
2025-12-17 00:00:00+00:00,0.0002901245,0.0000120885,24,-0.0000187133
2025-12-18 00:00:00+00:00,0.0001999883,0.0000083328,24,-0.0001412255
2025-12-19 00:00:00+00:00,0.0002867178,0.0000119466,24,-0.0000106591
2025-12-20 00:00:00+00:00,-0.0004259587,-0.0000177483,24,-0.0004772446
2025-12-21 00:00:00+00:00,-0.0000535219,-0.0000022301,24,-0.0002013867
2025-12-22 00:00:00+00:00,0.0002636480,0.0000109853,24,0.0000528821
2025-12-23 00:00:00+00:00,0.0001438874,0.0000059953,24,-0.0000286985
2025-12-24 00:00:00+00:00,0.0002836200,0.0000118175,24,0.0003884712
2025-12-25 00:00:00+00:00,0.0013745865,0.0000572744,24,0.0011435859
2025-12-26 00:00:00+00:00,0.0001882320,0.0000078430,24,0.0000308910
2025-12-27 00:00:00+00:00,0.0000143295,0.0000005971,24,-0.0000661134
2025-12-28 00:00:00+00:00,-0.0003781516,-0.0000157563,24,-0.0003790360
2025-12-29 00:00:00+00:00,0.0003428328,0.0000142847,24,0.0001333373
2025-12-30 00:00:00+00:00,0.0000170228,0.0000007093,24,-0.0001659115
2025-12-31 00:00:00+00:00,0.0001383542,0.0000057648,24,-0.0000061578
2026-01-01 00:00:00+00:00,-0.0001953005,-0.0000081375,24,-0.0002112411
2026-01-02 00:00:00+00:00,0.0000664055,0.0000027669,24,-0.0000281673
2026-01-03 00:00:00+00:00,-0.0007245827,-0.0000301909,24,-0.0006218292
2026-01-04 00:00:00+00:00,0.0010034272,0.0000418095,24,0.0008065890
2026-01-05 00:00:00+00:00,0.0000918845,0.0000038285,24,0.0000146073
2026-01-06 00:00:00+00:00,0.0001500000,0.0000062500,24,0.0000406292
2026-01-07 00:00:00+00:00,0.0001537742,0.0000064073,24,0.0000523579
2026-01-08 00:00:00+00:00,-0.0000244914,-0.0000010205,24,-0.0001505803
2026-01-09 00:00:00+00:00,0.0001437623,0.0000059901,24,0.0000052782
2026-01-10 00:00:00+00:00,0.0001842224,0.0000076759,24,0.0001127271
2026-01-11 00:00:00+00:00,0.0000609281,0.0000025387,24,0.0001031336
2026-01-12 00:00:00+00:00,0.0000875478,0.0000036478,24,-0.0000823431
2026-01-13 00:00:00+00:00,0.0001319378,0.0000054974,24,-0.0000230123
2026-01-14 00:00:00+00:00,0.0001632083,0.0000068003,24,0.0002200326
2026-01-15 00:00:00+00:00,0.0001044410,0.0000043517,24,0.0001452214
2026-01-16 00:00:00+00:00,0.0001647371,0.0000068640,24,0.0003020034
2026-01-17 00:00:00+00:00,-0.0002565523,-0.0000106897,24,-0.0001611592
2026-01-18 00:00:00+00:00,-0.0005344089,-0.0000222670,24,-0.0004812725
2026-01-19 00:00:00+00:00,-0.0011509378,-0.0000479557,24,-0.0008311308
2026-01-20 00:00:00+00:00,0.0001571496,0.0000065479,24,0.0000234918
2026-01-21 00:00:00+00:00,0.0001500000,0.0000062500,24,-0.0000104853
2026-01-22 00:00:00+00:00,0.0001500000,0.0000062500,24,0.0001397571
2026-01-23 00:00:00+00:00,0.0001498468,0.0000062436,24,0.0000177785
2026-01-24 00:00:00+00:00,0.0000612819,0.0000025534,24,-0.0001081945
2026-01-25 00:00:00+00:00,-0.0010913736,-0.0000454739,24,-0.0009683522
2026-01-26 00:00:00+00:00,0.0002064870,0.0000086036,24,0.0000858577
2026-01-27 00:00:00+00:00,0.0001500000,0.0000062500,24,0.0000622120
2026-01-28 00:00:00+00:00,0.0002761526,0.0000115064,24,0.0004205020
2026-01-29 00:00:00+00:00,0.0001507359,0.0000062807,24,0.0001176917
2026-01-30 00:00:00+00:00,0.0001486016,0.0000061917,24,0.0000861963
2026-01-31 00:00:00+00:00,-0.0022495468,-0.0000937311,24,-0.0016499920
2026-02-01 00:00:00+00:00,0.0002030340,0.0000084597,24,0.0000910527
2026-02-02 00:00:00+00:00,0.0007246255,0.0000301927,24,0.0006442603
2026-02-03 00:00:00+00:00,0.0004751592,0.0000197983,24,0.0004658509
2026-02-04 00:00:00+00:00,0.0002437265,0.0000101553,24,0.0001546489
2026-02-05 00:00:00+00:00,0.0000807026,0.0000033626,24,-0.0000008577
2026-02-06 00:00:00+00:00,-0.0000435578,-0.0000018149,24,-0.0001115089
2026-02-07 00:00:00+00:00,-0.0005784944,-0.0000241039,24,-0.0003215943
2026-02-08 00:00:00+00:00,0.0016180581,0.0000674191,24,0.0010997366
2026-02-09 00:00:00+00:00,-0.0002291511,-0.0000095480,24,-0.0001525476
2026-02-10 00:00:00+00:00,0.0002524310,0.0000105180,24,0.0002695439
2026-02-11 00:00:00+00:00,0.0002515906,0.0000104829,24,0.0001525348
2026-02-12 00:00:00+00:00,0.0001172970,0.0000048874,24,0.0000348406
2026-02-13 00:00:00+00:00,0.0000042087,0.0000001754,24,-0.0000266289
2026-02-14 00:00:00+00:00,0.0008311513,0.0000346313,24,0.0005876166
2026-02-15 00:00:00+00:00,-0.0010974258,-0.0000457261,24,-0.0008066172
2026-02-16 00:00:00+00:00,-0.0002589347,-0.0000107889,24,-0.0001198372
2026-02-17 00:00:00+00:00,-0.0007779768,-0.0000324157,24,-0.0007756140
2026-02-18 00:00:00+00:00,-0.0000877845,-0.0000036577,24,-0.0002328110
2026-02-19 00:00:00+00:00,-0.0000481749,-0.0000020073,24,-0.0001993529
2026-02-20 00:00:00+00:00,0.0000948678,0.0000039528,24,-0.0000314818
2026-02-21 00:00:00+00:00,0.0005780609,0.0000240859,24,0.0004326756
2026-02-22 00:00:00+00:00,-0.0009399810,-0.0000391659,24,-0.0008305291
2026-02-23 00:00:00+00:00,-0.0004658146,-0.0000194089,24,-0.0005608769
2026-02-24 00:00:00+00:00,0.0000496941,0.0000020706,24,-0.0001997123
2026-02-25 00:00:00+00:00,0.0001232887,0.0000051370,24,0.0000586926
2026-02-26 00:00:00+00:00,0.0001434078,0.0000059753,24,0.0000803180
2026-02-27 00:00:00+00:00,0.0001497169,0.0000062382,24,0.0001156603
2026-02-28 00:00:00+00:00,0.0009104277,0.0000379345,24,0.0006327826
2026-03-01 00:00:00+00:00,-0.0007828250,-0.0000326177,24,-0.0005968834
2026-03-02 00:00:00+00:00,0.0008042732,0.0000335114,24,0.0007564465
2026-03-03 00:00:00+00:00,0.0001782234,0.0000074260,24,0.0001777614
2026-03-04 00:00:00+00:00,0.0000857716,0.0000035738,24,0.0001424068
2026-03-05 00:00:00+00:00,0.0001888387,0.0000078683,24,0.0002215693
2026-03-06 00:00:00+00:00,0.0002072907,0.0000086371,24,0.0002606488
2026-03-07 00:00:00+00:00,-0.0008338399,-0.0000347433,24,-0.0006745937
2026-03-08 00:00:00+00:00,-0.0014467634,-0.0000602818,24,-0.0010954006
2026-03-09 00:00:00+00:00,-0.0000692439,-0.0000028852,24,0.0000659858
2026-03-10 00:00:00+00:00,0.0001149056,0.0000047877,24,0.0001447532
2026-03-11 00:00:00+00:00,0.0002530475,0.0000105436,24,0.0002803078
2026-03-12 00:00:00+00:00,0.0001492617,0.0000062192,24,0.0001144139
2026-03-13 00:00:00+00:00,0.0003655073,0.0000152295,24,0.0003305063
2026-03-14 00:00:00+00:00,-0.0003760032,-0.0000156668,24,-0.0003167796
2026-03-15 00:00:00+00:00,0.0014301693,0.0000595904,24,0.0010864349
2026-03-16 00:00:00+00:00,0.0007525195,0.0000313550,24,0.0007335906
2026-03-17 00:00:00+00:00,0.0003732132,0.0000155505,24,0.0004748095
2026-03-18 00:00:00+00:00,0.0005676840,0.0000236535,24,0.0005922679
2026-03-19 00:00:00+00:00,0.0001656151,0.0000069006,24,0.0001600746
2026-03-20 00:00:00+00:00,-0.0000008365,-0.0000000349,24,-0.0001837034
2026-03-21 00:00:00+00:00,0.0000983815,0.0000040992,24,0.0001298587
