coin,fundingRate,premium,time
xyz:COIN,-0.0000291150,-0.0005329197,2025-11-25 18:00:00.054000+00:00
xyz:COIN,-0.0001223021,-0.0012784171,2025-11-25 19:00:00.061000+00:00
xyz:COIN,0.0000125000,0.0000202092,2025-11-25 20:00:00.015000+00:00
xyz:COIN,0.0000125000,-0.0000903022,2025-11-25 21:00:00.012000+00:00
xyz:COIN,0.0000125000,0.0000271573,2025-11-25 22:00:00.013000+00:00
xyz:COIN,0.0000125000,-0.0001339264,2025-11-25 23:00:00.092000+00:00
xyz:COIN,-0.0000069471,-0.0003555772,2025-11-26 00:00:00.203000+00:00
xyz:COIN,0.0000125000,0.0001890899,2025-11-26 01:00:00.056000+00:00
xyz:COIN,0.0001085742,0.0011685937,2025-11-26 02:00:00.030000+00:00
xyz:COIN,0.0002957265,0.0026658123,2025-11-26 03:00:00.063000+00:00
xyz:COIN,0.0000562640,0.0007501120,2025-11-26 04:00:00.014000+00:00
xyz:COIN,0.0000125000,0.0002708447,2025-11-26 05:00:00.044000+00:00
xyz:COIN,0.0000125000,0.0000557703,2025-11-26 06:00:00.016000+00:00
xyz:COIN,0.0001529313,0.0015234505,2025-11-26 07:00:00.022000+00:00
xyz:COIN,0.0000125000,0.0003017102,2025-11-26 08:00:00.098000+00:00
xyz:COIN,0.0000513144,0.0007105151,2025-11-26 09:00:00.091000+00:00
xyz:COIN,0.0000717223,0.0008737786,2025-11-26 10:00:00.025000+00:00
xyz:COIN,0.0000641234,0.0008129872,2025-11-26 11:00:00.023000+00:00
xyz:COIN,0.0000181053,0.0004448423,2025-11-26 12:00:00.100000+00:00
xyz:COIN,0.0000125000,-0.0001820031,2025-11-26 13:00:00.034000+00:00
xyz:COIN,0.0000125000,0.0002098926,2025-11-26 14:00:00.047000+00:00
xyz:COIN,0.0000125000,0.0001077619,2025-11-26 15:00:00.012000+00:00
xyz:COIN,0.0000228878,0.0004831021,2025-11-26 16:00:00.062000+00:00
xyz:COIN,0.0000248024,0.0004984189,2025-11-26 17:00:00.062000+00:00
xyz:COIN,0.0000131161,0.0004049286,2025-11-26 18:00:00.073000+00:00
xyz:COIN,0.0000893978,0.0010151823,2025-11-26 19:00:00.048000+00:00
xyz:COIN,0.0000297259,0.0005378075,2025-11-26 20:00:00.065000+00:00
xyz:COIN,0.0000125000,0.0002515592,2025-11-26 21:00:00.032000+00:00
xyz:COIN,0.0000125000,0.0001382819,2025-11-26 22:00:00.029000+00:00
xyz:COIN,0.0000125000,-0.0000349050,2025-11-26 23:00:00.032000+00:00
xyz:COIN,0.0000125000,-0.0000953901,2025-11-27 00:00:00.024000+00:00
xyz:COIN,0.0000125000,0.0001645351,2025-11-27 01:00:00.006000+00:00
xyz:COIN,0.0000115067,-0.0002079467,2025-11-27 02:00:00.090000+00:00
xyz:COIN,0.0000125000,-0.0001616969,2025-11-27 03:00:00.036000+00:00
xyz:COIN,0.0000125000,-0.0000731060,2025-11-27 04:00:00.062000+00:00
xyz:COIN,0.0000125000,-0.0000396045,2025-11-27 05:00:00.069000+00:00
xyz:COIN,0.0000125000,0.0000102840,2025-11-27 06:00:00.027000+00:00
xyz:COIN,0.0000125000,0.0002765290,2025-11-27 07:00:00.004000+00:00
xyz:COIN,0.0000502553,0.0007020424,2025-11-27 08:00:00.031000+00:00
