coin,fundingRate,premium,time
xyz:GOLD,0.0000201130,0.0006218073,2025-12-22 15:00:00.012000+00:00
xyz:GOLD,0.0000062500,0.0003787162,2025-12-22 16:00:00.031000+00:00
xyz:GOLD,0.0000277728,0.0007443648,2025-12-22 17:00:00.050000+00:00
xyz:GOLD,0.0001152392,0.0021438274,2025-12-22 18:00:00.030000+00:00
xyz:GOLD,0.0001533210,0.0027531363,2025-12-22 19:00:00.006000+00:00
xyz:GOLD,0.0000884119,0.0017145909,2025-12-22 20:00:00.046000+00:00
xyz:GOLD,0.0000062500,0.0001839981,2025-12-22 21:00:00+00:00
xyz:GOLD,0.0000062500,0.0002791791,2025-12-22 22:00:00.036000+00:00
xyz:GOLD,0.0000062500,0.0000586086,2025-12-22 23:00:00.053000+00:00
xyz:GOLD,0.0000062500,0.0001300350,2025-12-23 00:00:00.002000+00:00
xyz:GOLD,0.0000062500,-0.0000272611,2025-12-23 01:00:00.098000+00:00
xyz:GOLD,0.0000657727,0.0013523626,2025-12-23 02:00:00.053000+00:00
xyz:GOLD,0.0000062500,0.0001687066,2025-12-23 03:00:00.060000+00:00
xyz:GOLD,0.0000062500,0.0000338498,2025-12-23 04:00:00.059000+00:00
xyz:GOLD,0.0000132994,0.0005127902,2025-12-23 05:00:00.066000+00:00
xyz:GOLD,0.0000435364,0.0009965816,2025-12-23 06:00:00.065000+00:00
xyz:GOLD,0.0000313849,0.0008021591,2025-12-23 07:00:00.033000+00:00
xyz:GOLD,0.0000062500,0.0001157747,2025-12-23 08:00:00.066000+00:00
xyz:GOLD,0.0001918881,0.0033702102,2025-12-23 09:00:00.061000+00:00
xyz:GOLD,0.0001131314,0.0021101018,2025-12-23 10:00:00.050000+00:00
xyz:GOLD,0.0000703887,0.0014262199,2025-12-23 11:00:00.027000+00:00
xyz:GOLD,0.0000533380,0.0011534074,2025-12-23 12:00:00.062000+00:00
xyz:GOLD,0.0000062500,0.0003724640,2025-12-23 13:00:00.067000+00:00
xyz:GOLD,0.0000127414,0.0005038627,2025-12-23 14:00:00.025000+00:00
xyz:GOLD,0.0000148445,0.0005375114,2025-12-23 15:00:00.117000+00:00
xyz:GOLD,0.0000085272,0.0004364348,2025-12-23 16:00:00.036000+00:00
