coin,fundingRate,premium,time
xyz:GOOGL,0.0002159149,0.0020273190,2025-11-18 17:00:00.013000+00:00
xyz:GOOGL,0.0000125000,0.0001420662,2025-11-18 18:00:00.026000+00:00
xyz:GOOGL,0.0000125000,0.0000458919,2025-11-18 19:00:00.025000+00:00
xyz:GOOGL,0.0000125000,0.0001357139,2025-11-18 20:00:00.006000+00:00
xyz:GOOGL,0.0000125000,0.0002398687,2025-11-18 21:00:00.030000+00:00
xyz:GOOGL,0.0000125000,0.0001113057,2025-11-18 22:00:00.011000+00:00
xyz:GOOGL,0.0000125000,0.0001696204,2025-11-18 23:00:00.026000+00:00
xyz:GOOGL,0.0000125000,0.0000510391,2025-11-19 00:00:00.026000+00:00
xyz:GOOGL,0.0000474813,0.0006798505,2025-11-19 01:00:00.092000+00:00
xyz:GOOGL,-0.0002282984,-0.0021263873,2025-11-19 02:00:00.049000+00:00
xyz:GOOGL,0.0001960246,0.0018681965,2025-11-19 03:00:00.012000+00:00
xyz:GOOGL,0.0002316374,0.0021530995,2025-11-19 04:00:00.054000+00:00
xyz:GOOGL,0.0000110093,-0.0002119257,2025-11-19 05:00:00.003000+00:00
xyz:GOOGL,0.0000798193,0.0009385541,2025-11-19 06:00:00.026000+00:00
xyz:GOOGL,0.0001570055,0.0015560444,2025-11-19 07:00:00.048000+00:00
xyz:GOOGL,0.0003430989,0.0030447909,2025-11-19 08:00:00.018000+00:00
xyz:GOOGL,0.0002701582,0.0024612654,2025-11-19 09:00:00.048000+00:00
xyz:GOOGL,0.0000448693,0.0006589545,2025-11-19 10:00:00.012000+00:00
xyz:GOOGL,0.0000125000,0.0001334041,2025-11-19 11:00:00.095000+00:00
xyz:GOOGL,0.0000125000,0.0003076737,2025-11-19 12:00:00.026000+00:00
xyz:GOOGL,0.0001314912,0.0013519294,2025-11-19 13:00:00.042000+00:00
xyz:GOOGL,0.0003721527,0.0032772217,2025-11-19 14:00:00.002000+00:00
xyz:GOOGL,0.0000934891,0.0010479131,2025-11-19 15:00:00.004000+00:00
xyz:GOOGL,0.0000299211,0.0005393691,2025-11-19 16:00:00.036000+00:00
xyz:GOOGL,0.0000125000,0.0003405912,2025-11-19 17:00:00.080000+00:00
xyz:GOOGL,0.0000125000,0.0002949009,2025-11-19 18:00:00.054000+00:00
xyz:GOOGL,0.0000125000,0.0000607903,2025-11-19 19:00:00.006000+00:00
xyz:GOOGL,0.0000125000,0.0001871137,2025-11-19 20:00:00.045000+00:00
xyz:GOOGL,0.0000501447,0.0007011578,2025-11-19 21:00:00.018000+00:00
xyz:GOOGL,0.0004551353,0.0039410824,2025-11-19 22:00:00.034000+00:00
xyz:GOOGL,0.0002421958,0.0022375661,2025-11-19 23:00:00.027000+00:00
xyz:GOOGL,0.0000125000,0.0002886776,2025-11-20 00:00:00.071000+00:00
xyz:GOOGL,0.0000568378,0.0007547025,2025-11-20 01:00:00.114000+00:00
xyz:GOOGL,-0.0000237902,-0.0004903217,2025-11-20 02:00:00.030000+00:00
xyz:GOOGL,0.0000125000,0.0000953669,2025-11-20 03:00:00.050000+00:00
xyz:GOOGL,0.0000125000,0.0003287515,2025-11-20 04:00:00.005000+00:00
xyz:GOOGL,0.0000322779,0.0005582235,2025-11-20 05:00:00.045000+00:00
xyz:GOOGL,0.0000889692,0.0010117533,2025-11-20 06:00:00.003000+00:00
xyz:GOOGL,-0.0000316437,-0.0005531498,2025-11-20 07:00:00.046000+00:00
xyz:GOOGL,0.0000464635,0.0006717081,2025-11-20 08:00:00+00:00
xyz:GOOGL,0.0000125000,0.0002772251,2025-11-20 09:00:00.039000+00:00
xyz:GOOGL,0.0000125000,0.0003212836,2025-11-20 10:00:00.112000+00:00
xyz:GOOGL,0.0000125000,0.0001526413,2025-11-20 11:00:00.052000+00:00
xyz:GOOGL,0.0000296391,0.0005371131,2025-11-20 12:00:00.004000+00:00
xyz:GOOGL,0.0000949785,0.0010598278,2025-11-20 13:00:00.051000+00:00
xyz:GOOGL,0.0001212012,0.0012696099,2025-11-20 14:00:00.045000+00:00
xyz:GOOGL,0.0004330875,0.0037647003,2025-11-20 15:00:00.022000+00:00
xyz:GOOGL,0.0001844830,0.0017758638,2025-11-20 16:00:00.039000+00:00
xyz:GOOGL,0.0000537060,0.0007296478,2025-11-20 17:00:00.059000+00:00
xyz:GOOGL,0.0000125000,0.0002574701,2025-11-20 18:00:00.035000+00:00
xyz:GOOGL,0.0001241028,0.0012928221,2025-11-20 19:00:00.088000+00:00
xyz:GOOGL,0.0001177846,0.0012422767,2025-11-20 20:00:00.054000+00:00
xyz:GOOGL,0.0000602096,0.0007816767,2025-11-20 21:00:00+00:00
xyz:GOOGL,0.0001080371,0.0011642967,2025-11-20 22:00:00.129000+00:00
xyz:GOOGL,0.0000125000,0.0000705022,2025-11-20 23:00:00.006000+00:00
xyz:GOOGL,0.0000125000,-0.0000852590,2025-11-21 00:00:00.037000+00:00
xyz:GOOGL,0.0000365714,0.0005925712,2025-11-21 01:00:00.053000+00:00
xyz:GOOGL,0.0000125000,-0.0000618530,2025-11-21 02:00:00.169000+00:00
xyz:GOOGL,0.0004576499,0.0039611993,2025-11-21 03:00:00.141000+00:00
xyz:GOOGL,0.0002653419,0.0024227356,2025-11-21 04:00:00.006000+00:00
xyz:GOOGL,0.0002454928,0.0022639421,2025-11-21 05:00:00.005000+00:00
xyz:GOOGL,0.0000985176,0.0010881410,2025-11-21 06:00:00.054000+00:00
xyz:GOOGL,0.0000247372,0.0004978974,2025-11-21 07:00:00.092000+00:00
xyz:GOOGL,0.0000322132,0.0005577052,2025-11-21 08:00:00.103000+00:00
xyz:GOOGL,0.0000927550,0.0010420402,2025-11-21 09:00:00.003000+00:00
xyz:GOOGL,0.0000227313,0.0004818503,2025-11-21 10:00:00.007000+00:00
xyz:GOOGL,0.0000125000,0.0002170963,2025-11-21 11:00:00.009000+00:00
xyz:GOOGL,0.0000125000,0.0002284243,2025-11-21 12:00:00.005000+00:00
xyz:GOOGL,0.0000125000,0.0003768007,2025-11-21 13:00:00.102000+00:00
xyz:GOOGL,0.0000125000,0.0001828871,2025-11-21 14:00:00.044000+00:00
xyz:GOOGL,0.0000125000,0.0001116355,2025-11-21 15:00:00.047000+00:00
xyz:GOOGL,0.0000125000,0.0001612031,2025-11-21 16:00:00.015000+00:00
xyz:GOOGL,0.0000125000,0.0001386846,2025-11-21 17:00:00.023000+00:00
xyz:GOOGL,0.0000125000,0.0002270349,2025-11-21 18:00:00.006000+00:00
xyz:GOOGL,0.0000241696,0.0004933568,2025-11-21 19:00:00.093000+00:00
xyz:GOOGL,0.0000125000,0.0001726542,2025-11-21 20:00:00.034000+00:00
xyz:GOOGL,0.0000125000,0.0001143356,2025-11-21 21:00:00.031000+00:00
xyz:GOOGL,0.0000125000,0.0001155680,2025-11-21 22:00:00.066000+00:00
xyz:GOOGL,0.0000125000,-0.0000330712,2025-11-21 23:00:00.002000+00:00
xyz:GOOGL,0.0000125000,0.0002327853,2025-11-22 00:00:00.049000+00:00
xyz:GOOGL,0.0000125000,0.0002977442,2025-11-22 01:00:00.034000+00:00
xyz:GOOGL,0.0000033329,-0.0002733372,2025-11-22 02:00:00.035000+00:00
xyz:GOOGL,-0.0000017258,-0.0003138067,2025-11-22 03:00:00.083000+00:00
xyz:GOOGL,0.0001298198,0.0013385585,2025-11-22 04:00:00.070000+00:00
xyz:GOOGL,0.0000413771,0.0006310169,2025-11-22 05:00:00.036000+00:00
xyz:GOOGL,0.0000125000,-0.0001121629,2025-11-22 06:00:00.033000+00:00
xyz:GOOGL,-0.0000251983,-0.0005015860,2025-11-22 07:00:00.060000+00:00
xyz:GOOGL,0.0000125000,-0.0000940848,2025-11-22 08:00:00.063000+00:00
xyz:GOOGL,0.0000072481,-0.0002420150,2025-11-22 09:00:00.011000+00:00
xyz:GOOGL,0.0000125000,-0.0001816413,2025-11-22 10:00:00.052000+00:00
xyz:GOOGL,0.0000077981,-0.0002376156,2025-11-22 11:00:00.092000+00:00
xyz:GOOGL,0.0000125000,0.0001078202,2025-11-22 12:00:00.045000+00:00
xyz:GOOGL,0.0000475894,0.0006807152,2025-11-22 13:00:00.078000+00:00
xyz:GOOGL,0.0004156973,0.0036255787,2025-11-22 14:00:00.013000+00:00
xyz:GOOGL,0.0001379259,0.0014034073,2025-11-22 15:00:00.010000+00:00
xyz:GOOGL,0.0000125000,0.0003664758,2025-11-22 16:00:00.011000+00:00
xyz:GOOGL,0.0000883384,0.0010067071,2025-11-22 17:00:00.019000+00:00
xyz:GOOGL,0.0000125000,0.0000815697,2025-11-22 18:00:00.003000+00:00
xyz:GOOGL,0.0000125000,0.0001801890,2025-11-22 19:00:00.027000+00:00
xyz:GOOGL,0.0000125000,0.0000930839,2025-11-22 20:00:00.045000+00:00
xyz:GOOGL,-0.0000808597,-0.0009468775,2025-11-22 21:00:00.055000+00:00
xyz:GOOGL,-0.0002969527,-0.0026756218,2025-11-22 22:00:00.053000+00:00
xyz:GOOGL,-0.0000886230,-0.0010089843,2025-11-22 23:00:00.085000+00:00
xyz:GOOGL,0.0000568317,0.0007546536,2025-11-23 00:00:00.020000+00:00
xyz:GOOGL,0.0000125000,-0.0000625953,2025-11-23 01:00:00.093000+00:00
xyz:GOOGL,0.0000125000,-0.0000328325,2025-11-23 02:00:00.046000+00:00
xyz:GOOGL,0.0000125000,-0.0000164853,2025-11-23 03:00:00.024000+00:00
xyz:GOOGL,0.0003340983,0.0029727867,2025-11-23 04:00:00.004000+00:00
xyz:GOOGL,0.0000125000,0.0003531314,2025-11-23 05:00:00.012000+00:00
xyz:GOOGL,0.0000125000,0.0001327623,2025-11-23 06:00:00.007000+00:00
xyz:GOOGL,0.0000125000,0.0002869702,2025-11-23 07:00:00.051000+00:00
xyz:GOOGL,0.0000125000,0.0001308033,2025-11-23 08:00:00.064000+00:00
xyz:GOOGL,0.0000280397,0.0005243179,2025-11-23 09:00:00.008000+00:00
xyz:GOOGL,0.0000231779,0.0004854230,2025-11-23 10:00:00.023000+00:00
xyz:GOOGL,0.0001527902,0.0015223213,2025-11-23 11:00:00.097000+00:00
xyz:GOOGL,0.0000125000,0.0000630861,2025-11-23 12:00:00.010000+00:00
xyz:GOOGL,0.0000758520,0.0009068157,2025-11-23 13:00:00.086000+00:00
xyz:GOOGL,0.0000125000,-0.0001152169,2025-11-23 14:00:00.004000+00:00
xyz:GOOGL,-0.0001113207,-0.0011905657,2025-11-23 15:00:00.040000+00:00
xyz:GOOGL,-0.0000896233,-0.0010169863,2025-11-23 16:00:00.021000+00:00
xyz:GOOGL,0.0000125000,-0.0000037677,2025-11-23 17:00:00.005000+00:00
xyz:GOOGL,0.0001779088,0.0017232707,2025-11-23 18:00:00.020000+00:00
xyz:GOOGL,0.0001644425,0.0016155400,2025-11-23 19:00:00.042000+00:00
xyz:GOOGL,0.0002198818,0.0020590543,2025-11-23 20:00:00.076000+00:00
xyz:GOOGL,0.0005246306,0.0044970446,2025-11-23 21:00:00.083000+00:00
xyz:GOOGL,0.0001541104,0.0015328831,2025-11-23 22:00:00.032000+00:00
xyz:GOOGL,-0.0001876745,-0.0018013961,2025-11-23 23:00:00.050000+00:00
xyz:GOOGL,0.0000125000,0.0000572768,2025-11-24 00:00:00.051000+00:00
xyz:GOOGL,0.0000125000,0.0003403341,2025-11-24 01:00:00.030000+00:00
xyz:GOOGL,0.0000125000,-0.0001098083,2025-11-24 02:00:00.067000+00:00
xyz:GOOGL,0.0000669949,0.0008359593,2025-11-24 03:00:00.010000+00:00
xyz:GOOGL,0.0001484906,0.0014879250,2025-11-24 04:00:00.034000+00:00
xyz:GOOGL,0.0000471871,0.0006774966,2025-11-24 05:00:00.042000+00:00
xyz:GOOGL,0.0001354927,0.0013839418,2025-11-24 06:00:00.036000+00:00
xyz:GOOGL,0.0000469406,0.0006755246,2025-11-24 07:00:00.028000+00:00
xyz:GOOGL,0.0001335483,0.0013683864,2025-11-24 08:00:00.025000+00:00
xyz:GOOGL,0.0001141552,0.0012132415,2025-11-24 09:00:00.049000+00:00
xyz:GOOGL,0.0000125000,0.0003635784,2025-11-24 10:00:00.007000+00:00
xyz:GOOGL,0.0000125000,0.0003390195,2025-11-24 11:00:00.049000+00:00
xyz:GOOGL,0.0000125000,0.0002118407,2025-11-24 12:00:00.056000+00:00
xyz:GOOGL,0.0000125000,0.0000731255,2025-11-24 13:00:00.014000+00:00
xyz:GOOGL,0.0000125000,0.0000905815,2025-11-24 14:00:00.035000+00:00
xyz:GOOGL,0.0000125000,0.0001907852,2025-11-24 15:00:00.015000+00:00
xyz:GOOGL,0.0000184143,0.0004473144,2025-11-24 16:00:00.011000+00:00
xyz:GOOGL,0.0000125000,0.0003662563,2025-11-24 17:00:00.041000+00:00
xyz:GOOGL,0.0001274014,0.0013192110,2025-11-24 18:00:00.097000+00:00
xyz:GOOGL,0.0000348284,0.0005786275,2025-11-24 19:00:00.065000+00:00
xyz:GOOGL,0.0000125000,0.0002664681,2025-11-24 20:00:00.083000+00:00
xyz:GOOGL,0.0000125000,0.0000676491,2025-11-24 21:00:00.134000+00:00
xyz:GOOGL,0.0000125000,0.0001414771,2025-11-24 22:00:00.018000+00:00
xyz:GOOGL,0.0000746673,0.0008973387,2025-11-24 23:00:00.013000+00:00
xyz:GOOGL,0.0000898523,0.0010188182,2025-11-25 00:00:00.027000+00:00
xyz:GOOGL,0.0001974380,0.0018795040,2025-11-25 01:00:00.029000+00:00
xyz:GOOGL,0.0000125000,0.0001861618,2025-11-25 02:00:00.065000+00:00
xyz:GOOGL,0.0001044663,0.0011357308,2025-11-25 03:00:00.062000+00:00
xyz:GOOGL,0.0001667255,0.0016338040,2025-11-25 04:00:00.057000+00:00
xyz:GOOGL,0.0000719991,0.0008759930,2025-11-25 05:00:00.061000+00:00
xyz:GOOGL,0.0001049317,0.0011394539,2025-11-25 06:00:00.056000+00:00
xyz:GOOGL,0.0000293853,0.0005350824,2025-11-25 07:00:00.004000+00:00
xyz:GOOGL,0.0000820853,0.0009566820,2025-11-25 08:00:00+00:00
xyz:GOOGL,0.0000582577,0.0007660617,2025-11-25 09:00:00.065000+00:00
xyz:GOOGL,0.0000472704,0.0006781631,2025-11-25 10:00:00.014000+00:00
xyz:GOOGL,0.0000871413,0.0009971300,2025-11-25 11:00:00.010000+00:00
xyz:GOOGL,0.0001696761,0.0016574092,2025-11-25 12:00:00.055000+00:00
xyz:GOOGL,0.0000991879,0.0010935032,2025-11-25 13:00:00.083000+00:00
xyz:GOOGL,0.0000262233,0.0005097861,2025-11-25 14:00:00.039000+00:00
xyz:GOOGL,0.0001681858,0.0016454864,2025-11-25 15:00:00.004000+00:00
xyz:GOOGL,0.0001060849,0.0011486796,2025-11-25 16:00:00.060000+00:00
xyz:GOOGL,0.0000510349,0.0007082791,2025-11-25 17:00:00.006000+00:00
xyz:GOOGL,0.0000461264,0.0006690111,2025-11-25 18:00:00.054000+00:00
xyz:GOOGL,0.0000722704,0.0008781630,2025-11-25 19:00:00.061000+00:00
xyz:GOOGL,0.0000524537,0.0007196297,2025-11-25 20:00:00.015000+00:00
xyz:GOOGL,0.0000290839,0.0005326709,2025-11-25 21:00:00.012000+00:00
xyz:GOOGL,0.0000152273,0.0004218186,2025-11-25 22:00:00.013000+00:00
xyz:GOOGL,0.0000414185,0.0006313483,2025-11-25 23:00:00.092000+00:00
xyz:GOOGL,0.0000669215,0.0008353720,2025-11-26 00:00:00.203000+00:00
xyz:GOOGL,0.0000125000,0.0002352870,2025-11-26 01:00:00.056000+00:00
xyz:GOOGL,0.0000125000,0.0002750558,2025-11-26 02:00:00.030000+00:00
xyz:GOOGL,0.0000125000,0.0000709992,2025-11-26 03:00:00.063000+00:00
xyz:GOOGL,0.0000476956,0.0006815645,2025-11-26 04:00:00.014000+00:00
xyz:GOOGL,0.0000901863,0.0010214906,2025-11-26 05:00:00.044000+00:00
xyz:GOOGL,0.0000125000,-0.0001686153,2025-11-26 06:00:00.016000+00:00
xyz:GOOGL,0.0000211854,0.0004694836,2025-11-26 07:00:00.022000+00:00
xyz:GOOGL,0.0000125000,0.0003267391,2025-11-26 08:00:00.098000+00:00
xyz:GOOGL,0.0000127097,0.0004016780,2025-11-26 09:00:00.091000+00:00
xyz:GOOGL,0.0000125000,0.0003071953,2025-11-26 10:00:00.025000+00:00
xyz:GOOGL,0.0000125000,0.0003344923,2025-11-26 11:00:00.023000+00:00
xyz:GOOGL,0.0000442848,0.0006542788,2025-11-26 12:00:00.100000+00:00
xyz:GOOGL,0.0000407191,0.0006257530,2025-11-26 13:00:00.034000+00:00
xyz:GOOGL,0.0000514153,0.0007113223,2025-11-26 14:00:00.047000+00:00
xyz:GOOGL,0.0001454904,0.0014639234,2025-11-26 15:00:00.012000+00:00
xyz:GOOGL,0.0000200240,0.0004601920,2025-11-26 16:00:00.062000+00:00
xyz:GOOGL,0.0000539587,0.0007316700,2025-11-26 17:00:00.062000+00:00
