coin,fundingRate,premium,time
xyz:META,0.0000489622,0.0006916973,2025-11-20 15:00:00.022000+00:00
xyz:META,0.0001039431,0.0011315448,2025-11-20 16:00:00.039000+00:00
xyz:META,0.0000158162,0.0004265298,2025-11-20 17:00:00.059000+00:00
xyz:META,0.0000125000,0.0000940550,2025-11-20 18:00:00.035000+00:00
xyz:META,0.0000125000,0.0002100862,2025-11-20 19:00:00.088000+00:00
xyz:META,0.0000301076,0.0005408610,2025-11-20 20:00:00.054000+00:00
xyz:META,0.0000125000,-0.0000400488,2025-11-20 21:00:00+00:00
xyz:META,0.0000125000,0.0003092123,2025-11-20 22:00:00.129000+00:00
xyz:META,0.0000125000,0.0003102159,2025-11-20 23:00:00.006000+00:00
xyz:META,0.0000125000,0.0000624720,2025-11-21 00:00:00.037000+00:00
xyz:META,0.0000183684,0.0004469468,2025-11-21 01:00:00.053000+00:00
xyz:META,0.0000125000,0.0001171130,2025-11-21 02:00:00.169000+00:00
xyz:META,0.0000889759,0.0010118076,2025-11-21 03:00:00.141000+00:00
xyz:META,-0.0001240185,-0.0012921478,2025-11-21 04:00:00.006000+00:00
xyz:META,0.0000125000,0.0001809025,2025-11-21 05:00:00.005000+00:00
xyz:META,-0.0000505584,-0.0007044673,2025-11-21 06:00:00.054000+00:00
xyz:META,-0.0000067934,-0.0003543474,2025-11-21 07:00:00.092000+00:00
xyz:META,0.0000040709,-0.0002674332,2025-11-21 08:00:00.103000+00:00
xyz:META,-0.0002336260,-0.0021690076,2025-11-21 09:00:00.003000+00:00
xyz:META,0.0000125000,0.0000926908,2025-11-21 10:00:00.007000+00:00
xyz:META,0.0000125000,-0.0001795894,2025-11-21 11:00:00.009000+00:00
xyz:META,-0.0000023741,-0.0003189928,2025-11-21 12:00:00.005000+00:00
xyz:META,0.0000125000,0.0000225991,2025-11-21 13:00:00.102000+00:00
xyz:META,0.0000125000,-0.0000877692,2025-11-21 14:00:00.044000+00:00
xyz:META,0.0000125000,-0.0000206262,2025-11-21 15:00:00.047000+00:00
xyz:META,0.0000125000,0.0000122547,2025-11-21 16:00:00.015000+00:00
xyz:META,0.0000125000,0.0000842725,2025-11-21 17:00:00.023000+00:00
xyz:META,0.0000125000,0.0000009637,2025-11-21 18:00:00.006000+00:00
xyz:META,0.0000125000,0.0000885769,2025-11-21 19:00:00.093000+00:00
xyz:META,0.0000125000,-0.0001138548,2025-11-21 20:00:00.034000+00:00
xyz:META,0.0000125000,0.0000110283,2025-11-21 21:00:00.031000+00:00
xyz:META,0.0000125000,-0.0000910326,2025-11-21 22:00:00.066000+00:00
xyz:META,0.0000125000,-0.0001208142,2025-11-21 23:00:00.002000+00:00
xyz:META,0.0000125000,0.0001615005,2025-11-22 00:00:00.049000+00:00
xyz:META,0.0000125000,0.0000014097,2025-11-22 01:00:00.034000+00:00
xyz:META,0.0000421550,0.0006372399,2025-11-22 02:00:00.035000+00:00
xyz:META,0.0001007331,0.0011058646,2025-11-22 03:00:00.083000+00:00
xyz:META,0.0002244032,0.0020952252,2025-11-22 04:00:00.070000+00:00
xyz:META,0.0000125000,0.0002201262,2025-11-22 05:00:00.036000+00:00
xyz:META,0.0000121161,-0.0002030712,2025-11-22 06:00:00.033000+00:00
xyz:META,-0.0000096414,-0.0003771315,2025-11-22 07:00:00.060000+00:00
xyz:META,0.0000122991,-0.0002016075,2025-11-22 08:00:00.063000+00:00
xyz:META,0.0000125000,-0.0001340916,2025-11-22 09:00:00.011000+00:00
xyz:META,0.0000180466,0.0004443725,2025-11-22 10:00:00.052000+00:00
xyz:META,0.0000125000,-0.0000831337,2025-11-22 11:00:00.092000+00:00
xyz:META,0.0000125000,0.0000113312,2025-11-22 12:00:00.045000+00:00
xyz:META,0.0000125000,0.0000591689,2025-11-22 13:00:00.078000+00:00
xyz:META,0.0000125000,0.0000072866,2025-11-22 14:00:00.013000+00:00
xyz:META,0.0000125000,0.0000082395,2025-11-22 15:00:00.010000+00:00
xyz:META,0.0000125000,0.0000083650,2025-11-22 16:00:00.011000+00:00
xyz:META,0.0000125000,0.0000087462,2025-11-22 17:00:00.019000+00:00
xyz:META,0.0000125000,0.0000295005,2025-11-22 18:00:00.003000+00:00
xyz:META,0.0000125000,0.0000201870,2025-11-22 19:00:00.027000+00:00
xyz:META,0.0001053626,0.0011429007,2025-11-22 20:00:00.045000+00:00
xyz:META,0.0000481120,0.0006848961,2025-11-22 21:00:00.055000+00:00
xyz:META,-0.0002445219,-0.0022561754,2025-11-22 22:00:00.053000+00:00
xyz:META,-0.0000676626,-0.0008413007,2025-11-22 23:00:00.085000+00:00
xyz:META,-0.0000023790,-0.0003190319,2025-11-23 00:00:00.020000+00:00
xyz:META,0.0000125000,0.0003118391,2025-11-23 01:00:00.093000+00:00
xyz:META,0.0000125000,0.0002089392,2025-11-23 02:00:00.046000+00:00
xyz:META,0.0000125000,0.0000877830,2025-11-23 03:00:00.024000+00:00
xyz:META,0.0000125000,0.0000417385,2025-11-23 04:00:00.004000+00:00
xyz:META,0.0000125000,0.0000266471,2025-11-23 05:00:00.012000+00:00
xyz:META,0.0000125000,0.0000174076,2025-11-23 06:00:00.007000+00:00
xyz:META,0.0000125000,-0.0000430248,2025-11-23 07:00:00.051000+00:00
xyz:META,0.0000125000,0.0001263895,2025-11-23 08:00:00.064000+00:00
xyz:META,0.0000125000,0.0000639253,2025-11-23 09:00:00.008000+00:00
xyz:META,0.0000125000,0.0002853966,2025-11-23 10:00:00.023000+00:00
xyz:META,0.0000246148,0.0004969187,2025-11-23 11:00:00.097000+00:00
xyz:META,0.0000125000,0.0000307902,2025-11-23 12:00:00.010000+00:00
xyz:META,0.0000125000,0.0000083681,2025-11-23 13:00:00.086000+00:00
xyz:META,0.0000125000,-0.0000502688,2025-11-23 14:00:00.004000+00:00
xyz:META,0.0000125000,-0.0001325778,2025-11-23 15:00:00.040000+00:00
xyz:META,0.0000125000,-0.0000308327,2025-11-23 16:00:00.021000+00:00
xyz:META,0.0000276972,0.0005215779,2025-11-23 17:00:00.005000+00:00
xyz:META,0.0000125000,0.0002756662,2025-11-23 18:00:00.020000+00:00
xyz:META,-0.0000141833,-0.0004134662,2025-11-23 19:00:00.042000+00:00
xyz:META,-0.0000182354,-0.0004458831,2025-11-23 20:00:00.076000+00:00
xyz:META,-0.0000418921,-0.0006351370,2025-11-23 21:00:00.083000+00:00
xyz:META,0.0000795571,0.0009364567,2025-11-23 22:00:00.032000+00:00
xyz:META,0.0000332966,0.0005663729,2025-11-23 23:00:00.050000+00:00
xyz:META,0.0005349871,0.0045798969,2025-11-24 00:00:00.051000+00:00
xyz:META,0.0002175634,0.0020405071,2025-11-24 01:00:00.030000+00:00
xyz:META,0.0000222049,0.0004776395,2025-11-24 02:00:00.067000+00:00
