coin,fundingRate,premium,time
xyz:MSFT,0.0000125000,0.0000462575,2025-11-19 15:00:00.004000+00:00
xyz:MSFT,0.0000125000,0.0001314751,2025-11-19 16:00:00.036000+00:00
xyz:MSFT,0.0000125000,0.0003429617,2025-11-19 17:00:00.080000+00:00
xyz:MSFT,0.0000125000,0.0003190208,2025-11-19 18:00:00.054000+00:00
xyz:MSFT,0.0000125000,-0.0001043197,2025-11-19 19:00:00.006000+00:00
xyz:MSFT,0.0000125000,0.0000838238,2025-11-19 20:00:00.045000+00:00
xyz:MSFT,0.0000125000,-0.0000607207,2025-11-19 21:00:00.018000+00:00
xyz:MSFT,0.0000125000,-0.0000605662,2025-11-19 22:00:00.034000+00:00
xyz:MSFT,0.0000125000,0.0002926000,2025-11-19 23:00:00.027000+00:00
xyz:MSFT,0.0000125000,-0.0001559747,2025-11-20 00:00:00.071000+00:00
xyz:MSFT,0.0000125000,0.0001352631,2025-11-20 01:00:00.114000+00:00
xyz:MSFT,0.0001553768,0.0015430146,2025-11-20 02:00:00.030000+00:00
xyz:MSFT,0.0001694727,0.0016557818,2025-11-20 03:00:00.050000+00:00
xyz:MSFT,0.0000125000,0.0002584023,2025-11-20 04:00:00.005000+00:00
xyz:MSFT,0.0000710929,0.0008687430,2025-11-20 05:00:00.045000+00:00
xyz:MSFT,0.0000979693,0.0010837545,2025-11-20 06:00:00.003000+00:00
xyz:MSFT,0.0000274389,0.0005195111,2025-11-20 07:00:00.046000+00:00
xyz:MSFT,0.0000622483,0.0007979862,2025-11-20 08:00:00+00:00
xyz:MSFT,-0.0000577371,-0.0007618969,2025-11-20 09:00:00.039000+00:00
xyz:MSFT,0.0000554259,0.0007434069,2025-11-20 10:00:00.112000+00:00
xyz:MSFT,0.0000125000,0.0000504817,2025-11-20 11:00:00.052000+00:00
xyz:MSFT,0.0000125000,-0.0000372851,2025-11-20 12:00:00.004000+00:00
xyz:MSFT,0.0000125000,-0.0000634250,2025-11-20 13:00:00.051000+00:00
xyz:MSFT,0.0000125000,0.0000999242,2025-11-20 14:00:00.045000+00:00
xyz:MSFT,0.0000125000,-0.0000422108,2025-11-20 15:00:00.022000+00:00
xyz:MSFT,0.0000125000,0.0001010036,2025-11-20 16:00:00.039000+00:00
xyz:MSFT,0.0000125000,0.0001259734,2025-11-20 17:00:00.059000+00:00
xyz:MSFT,0.0000125000,0.0001245260,2025-11-20 18:00:00.035000+00:00
