coin,fundingRate,premium,time
xyz:MSTR,-0.0000190866,-0.0004526929,2025-12-02 16:00:00.048000+00:00
xyz:MSTR,0.0000125000,0.0002881122,2025-12-02 17:00:00.058000+00:00
xyz:MSTR,0.0000262487,0.0005099898,2025-12-02 18:00:00.022000+00:00
xyz:MSTR,0.0001311438,0.0013491505,2025-12-02 19:00:00.027000+00:00
xyz:MSTR,0.0003772132,0.0033177055,2025-12-02 20:00:00.007000+00:00
xyz:MSTR,0.0002038422,0.0019307377,2025-12-02 21:00:00.115000+00:00
xyz:MSTR,0.0002056896,0.0019455167,2025-12-02 22:00:00.050000+00:00
xyz:MSTR,0.0001130053,0.0012040426,2025-12-02 23:00:00.064000+00:00
xyz:MSTR,0.0001210024,0.0012680194,2025-12-03 00:00:00.098000+00:00
xyz:MSTR,0.0002229300,0.0020834402,2025-12-03 01:00:00.052000+00:00
xyz:MSTR,0.0000125000,0.0001304521,2025-12-03 02:00:00.028000+00:00
xyz:MSTR,0.0000125000,-0.0001963316,2025-12-03 03:00:00.017000+00:00
xyz:MSTR,0.0000047673,-0.0002618615,2025-12-03 04:00:00.010000+00:00
xyz:MSTR,0.0000024829,-0.0002801365,2025-12-03 05:00:00.062000+00:00
xyz:MSTR,-0.0000991847,-0.0010934776,2025-12-03 06:00:00.007000+00:00
xyz:MSTR,0.0000125000,0.0001731249,2025-12-03 07:00:00.016000+00:00
xyz:MSTR,0.0000668098,0.0008344787,2025-12-03 08:00:00.016000+00:00
xyz:MSTR,0.0002112323,0.0019898581,2025-12-03 09:00:00.099000+00:00
xyz:MSTR,0.0001491329,0.0014930634,2025-12-03 10:00:00.051000+00:00
xyz:MSTR,0.0002026997,0.0019215974,2025-12-03 11:00:00.008000+00:00
xyz:MSTR,0.0001368076,0.0013944605,2025-12-03 12:00:00.008000+00:00
xyz:MSTR,0.0000836129,0.0009689030,2025-12-03 13:00:00.033000+00:00
xyz:MSTR,0.0001184025,0.0012472199,2025-12-03 14:00:00.068000+00:00
xyz:MSTR,0.0001064787,0.0011518298,2025-12-03 15:00:00.020000+00:00
xyz:MSTR,0.0000125000,0.0002755710,2025-12-03 16:00:00.116000+00:00
xyz:MSTR,0.0000226093,0.0004808745,2025-12-03 17:00:00.035000+00:00
xyz:MSTR,0.0000410290,0.0006282319,2025-12-03 18:00:00.043000+00:00
xyz:MSTR,0.0000313233,0.0005505863,2025-12-03 19:00:00+00:00
xyz:MSTR,0.0000125000,0.0002810336,2025-12-03 20:00:00.036000+00:00
xyz:MSTR,0.0000125000,0.0002421390,2025-12-03 21:00:00.027000+00:00
xyz:MSTR,0.0000125000,0.0001461448,2025-12-03 22:00:00.024000+00:00
xyz:MSTR,0.0000792735,0.0009341880,2025-12-03 23:00:00.029000+00:00
xyz:MSTR,0.0002993682,0.0026949456,2025-12-04 00:00:00.032000+00:00
xyz:MSTR,0.0001758145,0.0017065163,2025-12-04 01:00:00.010000+00:00
xyz:MSTR,0.0001719166,0.0016753326,2025-12-04 02:00:00.079000+00:00
xyz:MSTR,0.0000195105,0.0004560837,2025-12-04 03:00:00.010000+00:00
