coin,fundingRate,premium,time
xyz:NFLX,0.0000125000,0.0002244504,2025-12-08 15:00:00.011000+00:00
xyz:NFLX,0.0000234314,0.0004874516,2025-12-08 16:00:00.037000+00:00
xyz:NFLX,0.0000125000,0.0002007495,2025-12-08 17:00:00.037000+00:00
xyz:NFLX,0.0000125000,0.0001970428,2025-12-08 18:00:00.053000+00:00
xyz:NFLX,0.0000125000,0.0002551981,2025-12-08 19:00:00.047000+00:00
xyz:NFLX,0.0000125000,0.0001377436,2025-12-08 20:00:00.021000+00:00
xyz:NFLX,0.0000125000,0.0001509500,2025-12-08 21:00:00.150000+00:00
xyz:NFLX,0.0000125000,0.0003016543,2025-12-08 22:00:00.004000+00:00
xyz:NFLX,0.0000125000,0.0003184833,2025-12-08 23:00:00.059000+00:00
xyz:NFLX,0.0000125000,0.0003309827,2025-12-09 00:00:00.087000+00:00
xyz:NFLX,0.0000167238,0.0004337901,2025-12-09 01:00:00.022000+00:00
xyz:NFLX,-0.0000810464,-0.0009483710,2025-12-09 02:00:00.045000+00:00
xyz:NFLX,0.0000125000,-0.0001281261,2025-12-09 03:00:00.064000+00:00
xyz:NFLX,0.0000125000,0.0002197130,2025-12-09 04:00:00.033000+00:00
xyz:NFLX,0.0000125000,-0.0000708028,2025-12-09 05:00:00.043000+00:00
xyz:NFLX,0.0000125000,0.0002158596,2025-12-09 06:00:00.001000+00:00
xyz:NFLX,0.0000125000,-0.0000292213,2025-12-09 07:00:00.090000+00:00
xyz:NFLX,0.0000306218,0.0005449740,2025-12-09 08:00:00.041000+00:00
xyz:NFLX,0.0000560416,0.0007483324,2025-12-09 09:00:00.045000+00:00
xyz:NFLX,0.0000166213,0.0004329702,2025-12-09 10:00:00.025000+00:00
xyz:NFLX,0.0000125000,0.0002796590,2025-12-09 11:00:00.029000+00:00
xyz:NFLX,0.0000125000,0.0003350546,2025-12-09 12:00:00.077000+00:00
xyz:NFLX,0.0000125000,0.0003571768,2025-12-09 13:00:00.052000+00:00
xyz:NFLX,0.0000150745,0.0004205959,2025-12-09 14:00:00.043000+00:00
xyz:NFLX,0.0000481253,0.0006850028,2025-12-09 15:00:00.058000+00:00
xyz:NFLX,0.0000125000,0.0003645226,2025-12-09 16:00:00.007000+00:00
xyz:NFLX,0.0000125000,0.0002809534,2025-12-09 17:00:00.005000+00:00
xyz:NFLX,0.0000125000,0.0001255440,2025-12-09 18:00:00.021000+00:00
xyz:NFLX,0.0000125000,0.0002087798,2025-12-09 19:00:00.066000+00:00
xyz:NFLX,0.0000125000,-0.0001491557,2025-12-09 20:00:00.008000+00:00
xyz:NFLX,0.0000125000,-0.0001055249,2025-12-09 21:00:00.033000+00:00
xyz:NFLX,0.0000125000,-0.0000369368,2025-12-09 22:00:00.103000+00:00
xyz:NFLX,0.0000125000,-0.0000414275,2025-12-09 23:00:00.008000+00:00
xyz:NFLX,0.0000125000,-0.0000293656,2025-12-10 00:00:00.013000+00:00
xyz:NFLX,0.0000125000,-0.0000294184,2025-12-10 01:00:00.046000+00:00
xyz:NFLX,-0.0001453609,-0.0014628870,2025-12-10 02:00:00.101000+00:00
xyz:NFLX,0.0000125000,0.0000169660,2025-12-10 03:00:00+00:00
xyz:NFLX,0.0000125000,-0.0000284624,2025-12-10 04:00:00.090000+00:00
xyz:NFLX,0.0000125000,-0.0000177456,2025-12-10 05:00:00.079000+00:00
xyz:NFLX,0.0000125000,-0.0000344695,2025-12-10 06:00:00.065000+00:00
xyz:NFLX,0.0000125000,-0.0000276556,2025-12-10 07:00:00.025000+00:00
xyz:NFLX,0.0000125000,-0.0000303943,2025-12-10 08:00:00.023000+00:00
xyz:NFLX,0.0000125000,-0.0000335507,2025-12-10 09:00:00.031000+00:00
xyz:NFLX,0.0000125000,-0.0000170576,2025-12-10 10:00:00.108000+00:00
xyz:NFLX,0.0000125000,-0.0000010117,2025-12-10 11:00:00.050000+00:00
xyz:NFLX,0.0000125000,-0.0000075551,2025-12-10 12:00:00.051000+00:00
xyz:NFLX,0.0000125000,-0.0000315515,2025-12-10 13:00:00.033000+00:00
