timestamp,funding_rate,funding_mean_hourly,n_hours,premium_mean
2025-11-12 00:00:00+00:00,0.0003798523,0.0001266174,3,0.0012723305
2025-11-13 00:00:00+00:00,0.0019633825,0.0000818076,24,0.0008349134
2025-11-14 00:00:00+00:00,0.0009372169,0.0000390507,24,0.0003476994
2025-11-15 00:00:00+00:00,0.0014529931,0.0000605414,24,0.0005941771
2025-11-16 00:00:00+00:00,0.0017178550,0.0000715773,24,0.0008457219
2025-11-17 00:00:00+00:00,0.0031337884,0.0001305745,24,0.0011896699
2025-11-18 00:00:00+00:00,0.0012891928,0.0000537164,24,0.0004832544
2025-11-19 00:00:00+00:00,0.0028199760,0.0001174990,24,0.0011576658
2025-11-20 00:00:00+00:00,0.0002318278,0.0000096595,24,-0.0000194852
2025-11-21 00:00:00+00:00,-0.0001424130,-0.0000059339,24,-0.0002062112
2025-11-22 00:00:00+00:00,-0.0003796877,-0.0000158203,24,-0.0001431815
2025-11-23 00:00:00+00:00,0.0013774234,0.0000573926,24,0.0005588235
2025-11-24 00:00:00+00:00,0.0002443963,0.0000101832,24,0.0000478572
2025-11-25 00:00:00+00:00,0.0005488515,0.0000228688,24,0.0001497356
2025-11-26 00:00:00+00:00,0.0009441206,0.0000393384,24,0.0004910416
2025-11-27 00:00:00+00:00,0.0007859940,0.0000327497,24,0.0003592114
2025-11-28 00:00:00+00:00,0.0006072787,0.0000253033,24,0.0002911867
2025-11-29 00:00:00+00:00,-0.0001247075,-0.0000051961,24,-0.0001769971
2025-11-30 00:00:00+00:00,0.0002802621,0.0000116776,24,0.0001581108
2025-12-01 00:00:00+00:00,-0.0005172475,-0.0000215520,24,-0.0002628088
2025-12-02 00:00:00+00:00,0.0003218740,0.0000134114,24,0.0002196051
2025-12-03 00:00:00+00:00,0.0011299090,0.0000470795,24,0.0006102085
2025-12-04 00:00:00+00:00,0.0008359582,0.0000348316,24,0.0004764523
2025-12-05 00:00:00+00:00,0.0005095569,0.0000212315,24,0.0003316561
