coin,fundingRate,premium,time
xyz:NVDA,0.0000125000,0.0002781734,2025-11-12 21:00:00.057000+00:00
xyz:NVDA,0.0001926843,0.0018414743,2025-11-12 22:00:00.019000+00:00
xyz:NVDA,0.0001746680,0.0016973438,2025-11-12 23:00:00.045000+00:00
xyz:NVDA,0.0001847764,0.0017782111,2025-11-13 00:00:00.007000+00:00
xyz:NVDA,0.0003254420,0.0029035362,2025-11-13 01:00:00.079000+00:00
xyz:NVDA,0.0000168658,0.0004349268,2025-11-13 02:00:00.052000+00:00
xyz:NVDA,-0.0000223472,-0.0004787778,2025-11-13 03:00:00.067000+00:00
xyz:NVDA,0.0000648841,0.0008190728,2025-11-13 04:00:00.039000+00:00
xyz:NVDA,0.0000125000,-0.0000055572,2025-11-13 05:00:00.072000+00:00
xyz:NVDA,0.0001382666,0.0014061326,2025-11-13 06:00:00.028000+00:00
xyz:NVDA,0.0000271767,0.0005174135,2025-11-13 07:00:00.014000+00:00
xyz:NVDA,0.0000914716,0.0010317729,2025-11-13 08:00:00.053000+00:00
xyz:NVDA,0.0001637113,0.0016096908,2025-11-13 09:00:00.007000+00:00
xyz:NVDA,0.0002502989,0.0023023913,2025-11-13 10:00:00.062000+00:00
xyz:NVDA,0.0000125000,0.0002660902,2025-11-13 11:00:00.092000+00:00
xyz:NVDA,0.0000269798,0.0005158386,2025-11-13 12:00:00.022000+00:00
xyz:NVDA,0.0000125000,-0.0000052364,2025-11-13 13:00:00.024000+00:00
xyz:NVDA,0.0000125000,0.0003591702,2025-11-13 14:00:00.070000+00:00
xyz:NVDA,0.0000125000,0.0003781414,2025-11-13 15:00:00.014000+00:00
xyz:NVDA,0.0000169368,0.0004354942,2025-11-13 16:00:00.012000+00:00
xyz:NVDA,0.0000125000,-0.0000563968,2025-11-13 17:00:00.042000+00:00
xyz:NVDA,0.0000331468,0.0005651742,2025-11-13 18:00:00.058000+00:00
xyz:NVDA,0.0000643627,0.0008149017,2025-11-13 19:00:00.062000+00:00
xyz:NVDA,0.0000125000,0.0000314451,2025-11-13 20:00:00.061000+00:00
xyz:NVDA,0.0000125000,-0.0000367952,2025-11-13 21:00:00.046000+00:00
xyz:NVDA,0.0000928536,0.0010428288,2025-11-13 22:00:00.013000+00:00
xyz:NVDA,0.0003885566,0.0034084529,2025-11-13 23:00:00.059000+00:00
xyz:NVDA,0.0000180116,0.0004440927,2025-11-14 00:00:00.130000+00:00
xyz:NVDA,0.0001573300,0.0015586396,2025-11-14 01:00:00.014000+00:00
xyz:NVDA,0.0000856298,0.0009850384,2025-11-14 02:00:00.069000+00:00
xyz:NVDA,0.0000125000,0.0002909570,2025-11-14 03:00:00.085000+00:00
xyz:NVDA,0.0000402802,0.0006222415,2025-11-14 04:00:00.024000+00:00
xyz:NVDA,0.0001356691,0.0013853530,2025-11-14 05:00:00.029000+00:00
xyz:NVDA,0.0000160663,0.0004285307,2025-11-14 06:00:00.096000+00:00
xyz:NVDA,0.0000708392,0.0008667138,2025-11-14 07:00:00.019000+00:00
