coin,fundingRate,premium,time
xyz:CL,0.0000062500,0.0002451466,2026-01-06 15:00:00.076000+00:00
xyz:CL,0.0000160616,0.0005569863,2026-01-06 16:00:00.036000+00:00
xyz:CL,0.0000384907,0.0009158520,2026-01-06 17:00:00.012000+00:00
xyz:CL,0.0000062500,-0.0000086622,2026-01-06 18:00:00.001000+00:00
xyz:CL,0.0000367630,0.0008882079,2026-01-06 19:00:00.037000+00:00
xyz:CL,0.0001603396,0.0028654333,2026-01-06 20:00:00.018000+00:00
xyz:CL,0.0000062500,0.0002064573,2026-01-06 21:00:00.062000+00:00
xyz:CL,0.0000062500,0.0000877873,2026-01-06 22:00:00.005000+00:00
xyz:CL,0.0000625589,0.0013009421,2026-01-06 23:00:00.008000+00:00
xyz:CL,0.0000098878,0.0004582047,2026-01-07 00:00:00.119000+00:00
xyz:CL,0.0000062500,0.0003566222,2026-01-07 01:00:00.007000+00:00
xyz:CL,0.0000062500,-0.0001553476,2026-01-07 02:00:00.010000+00:00
xyz:CL,0.0000062500,0.0000059787,2026-01-07 03:00:00.017000+00:00
xyz:CL,0.0000062500,-0.0000104755,2026-01-07 04:00:00.033000+00:00
xyz:CL,0.0000062500,-0.0000036215,2026-01-07 05:00:00.087000+00:00
xyz:CL,0.0000062500,0.0000602999,2026-01-07 06:00:00.009000+00:00
xyz:CL,0.0000062500,0.0001010555,2026-01-07 07:00:00.014000+00:00
xyz:CL,0.0000062500,-0.0001210743,2026-01-07 08:00:00.062000+00:00
xyz:CL,0.0000057620,-0.0002078076,2026-01-07 09:00:00.082000+00:00
xyz:CL,0.0000062500,0.0000233694,2026-01-07 10:00:00.029000+00:00
xyz:CL,0.0000062500,-0.0001291940,2026-01-07 11:00:00.048000+00:00
xyz:CL,0.0000062500,0.0003125200,2026-01-07 12:00:00.096000+00:00
xyz:CL,0.0000021933,-0.0002649069,2026-01-07 13:00:00.074000+00:00
xyz:CL,0.0000290733,0.0007651729,2026-01-07 14:00:00.040000+00:00
xyz:CL,0.0000062500,-0.0001997993,2026-01-07 15:00:00.099000+00:00
xyz:CL,0.0000062500,0.0000995495,2026-01-07 16:00:00.081000+00:00
xyz:CL,0.0000062500,0.0000679736,2026-01-07 17:00:00.013000+00:00
xyz:CL,0.0000185756,0.0005972100,2026-01-07 18:00:00.014000+00:00
xyz:CL,0.0000062500,-0.0000953901,2026-01-07 19:00:00.055000+00:00
xyz:CL,0.0000062500,-0.0000570138,2026-01-07 20:00:00.113000+00:00
xyz:CL,0.0000062500,0.0000203640,2026-01-07 21:00:00.117000+00:00
xyz:CL,0.0000025858,-0.0002586265,2026-01-07 22:00:00.043000+00:00
xyz:CL,-0.0000105135,-0.0004682167,2026-01-07 23:00:00.090000+00:00
xyz:CL,0.0000403518,0.0009456287,2026-01-08 00:00:00.001000+00:00
xyz:CL,0.0000047546,-0.0002239271,2026-01-08 01:00:00.035000+00:00
xyz:CL,0.0000007904,-0.0002873542,2026-01-08 02:00:00.029000+00:00
xyz:CL,0.0000060906,-0.0002025500,2026-01-08 03:00:00.014000+00:00
xyz:CL,-0.0000114623,-0.0004833962,2026-01-08 04:00:00.069000+00:00
xyz:CL,-0.0000043447,-0.0003695149,2026-01-08 05:00:00.155000+00:00
xyz:CL,0.0000062500,-0.0000421338,2026-01-08 06:00:00.094000+00:00
