coin,fundingRate,premium,time
xyz:PLTR,0.0000125000,0.0000091659,2025-11-14 16:00:00.014000+00:00
xyz:PLTR,-0.0000700110,-0.0008600879,2025-11-14 17:00:00.079000+00:00
xyz:PLTR,-0.0000432305,-0.0006458436,2025-11-14 18:00:00.020000+00:00
xyz:PLTR,-0.0000944781,-0.0010558249,2025-11-14 19:00:00.005000+00:00
xyz:PLTR,-0.0001156748,-0.0012253988,2025-11-14 20:00:00.054000+00:00
xyz:PLTR,-0.0001076032,-0.0011608254,2025-11-14 21:00:00.011000+00:00
xyz:PLTR,-0.0000890363,-0.0010122903,2025-11-14 22:00:00.091000+00:00
xyz:PLTR,0.0000043071,-0.0002655431,2025-11-14 23:00:00.037000+00:00
xyz:PLTR,-0.0000477946,-0.0006823570,2025-11-15 00:00:00.028000+00:00
xyz:PLTR,-0.0001674884,-0.0016399076,2025-11-15 01:00:00.133000+00:00
xyz:PLTR,-0.0000304339,-0.0005434713,2025-11-15 02:00:00.009000+00:00
xyz:PLTR,-0.0000203255,-0.0004626040,2025-11-15 03:00:00.036000+00:00
xyz:PLTR,-0.0000120714,-0.0003965710,2025-11-15 04:00:00.065000+00:00
xyz:PLTR,-0.0000061170,-0.0003489361,2025-11-15 05:00:00.009000+00:00
xyz:PLTR,-0.0000021721,-0.0003173772,2025-11-15 06:00:00.014000+00:00
xyz:PLTR,-0.0000091780,-0.0003734239,2025-11-15 07:00:00.047000+00:00
xyz:PLTR,0.0000014552,-0.0002883581,2025-11-15 08:00:00.089000+00:00
xyz:PLTR,-0.0000254734,-0.0005037869,2025-11-15 09:00:00.051000+00:00
xyz:PLTR,-0.0000610932,-0.0007887458,2025-11-15 10:00:00.102000+00:00
xyz:PLTR,-0.0000290221,-0.0005321765,2025-11-15 11:00:00.069000+00:00
xyz:PLTR,-0.0000122698,-0.0003981582,2025-11-15 12:00:00.005000+00:00
xyz:PLTR,0.0000125000,-0.0001939434,2025-11-15 13:00:00.021000+00:00
xyz:PLTR,0.0000125000,-0.0000175829,2025-11-15 14:00:00.091000+00:00
xyz:PLTR,0.0000125000,0.0000602728,2025-11-15 15:00:00.034000+00:00
xyz:PLTR,0.0000125000,0.0000796774,2025-11-15 16:00:00.015000+00:00
xyz:PLTR,0.0000125000,0.0000285128,2025-11-15 17:00:00.035000+00:00
xyz:PLTR,0.0000125000,0.0000285128,2025-11-15 18:00:00.023000+00:00
xyz:PLTR,0.0000125000,0.0000877085,2025-11-15 19:00:00.004000+00:00
xyz:PLTR,0.0000125000,0.0001336378,2025-11-15 20:00:00.052000+00:00
xyz:PLTR,0.0000125000,0.0000933301,2025-11-15 21:00:00.109000+00:00
xyz:PLTR,0.0000125000,0.0000733687,2025-11-15 22:00:00.042000+00:00
