coin,fundingRate,premium,time
xyz:XYZ100,0.0002720894,0.0024767151,2025-10-13 13:00:00.067000+00:00
xyz:XYZ100,0.0000406054,0.0006248432,2025-10-13 14:00:00.029000+00:00
xyz:XYZ100,0.0000125000,0.0000035476,2025-10-13 15:00:00.052000+00:00
xyz:XYZ100,0.0000125000,0.0001391514,2025-10-13 16:00:00.027000+00:00
xyz:XYZ100,0.0001017188,0.0011137508,2025-10-13 17:00:00.008000+00:00
xyz:XYZ100,0.0000237740,0.0004901919,2025-10-13 18:00:00.013000+00:00
xyz:XYZ100,0.0002877053,0.0026016427,2025-10-13 19:00:00.032000+00:00
xyz:XYZ100,0.0005120931,0.0043967444,2025-10-13 20:00:00.049000+00:00
xyz:XYZ100,0.0006669170,0.0056353363,2025-10-13 21:00:00.049000+00:00
xyz:XYZ100,0.0009860731,0.0081885849,2025-10-13 22:00:00.002000+00:00
xyz:XYZ100,0.0003942988,0.0034543904,2025-10-13 23:00:00.006000+00:00
xyz:XYZ100,0.0002553053,0.0023424423,2025-10-14 00:00:00.054000+00:00
xyz:XYZ100,0.0004418177,0.0038345419,2025-10-14 01:00:00.064000+00:00
xyz:XYZ100,0.0002555810,0.0023446482,2025-10-14 02:00:00.032000+00:00
xyz:XYZ100,0.0001645451,0.0016163611,2025-10-14 03:00:00.114000+00:00
xyz:XYZ100,0.0003955203,0.0034641623,2025-10-14 04:00:00.019000+00:00
xyz:XYZ100,0.0008508518,0.0071068142,2025-10-14 05:00:00.079000+00:00
xyz:XYZ100,0.0005495934,0.0046967472,2025-10-14 06:00:00.009000+00:00
xyz:XYZ100,0.0002345931,0.0021767450,2025-10-14 07:00:00.007000+00:00
xyz:XYZ100,0.0002512641,0.0023101129,2025-10-14 08:00:00.001000+00:00
xyz:XYZ100,0.0000811547,0.0009492376,2025-10-14 09:00:00.098000+00:00
xyz:XYZ100,0.0001888943,0.0018111544,2025-10-14 10:00:00.066000+00:00
xyz:XYZ100,0.0002905565,0.0026244520,2025-10-14 11:00:00.045000+00:00
xyz:XYZ100,0.0001487849,0.0014902789,2025-10-14 12:00:00.009000+00:00
xyz:XYZ100,0.0001993167,0.0018945333,2025-10-14 13:00:00.044000+00:00
xyz:XYZ100,0.0001714415,0.0016715320,2025-10-14 14:00:00.060000+00:00
xyz:XYZ100,0.0001432179,0.0014457434,2025-10-14 15:00:00.027000+00:00
xyz:XYZ100,0.0001276260,0.0013210077,2025-10-14 16:00:00.021000+00:00
xyz:XYZ100,0.0000243563,0.0004948507,2025-10-14 17:00:00.070000+00:00
xyz:XYZ100,0.0001241341,0.0012930729,2025-10-14 18:00:00.036000+00:00
xyz:XYZ100,0.0001373211,0.0013985687,2025-10-14 19:00:00.043000+00:00
xyz:XYZ100,0.0002439687,0.0022517492,2025-10-14 20:00:00.090000+00:00
xyz:XYZ100,0.0002579402,0.0023635218,2025-10-14 21:00:00.040000+00:00
xyz:XYZ100,0.0001510961,0.0015087689,2025-10-14 22:00:00.030000+00:00
xyz:XYZ100,0.0002286839,0.0021294713,2025-10-14 23:00:00.016000+00:00
xyz:XYZ100,0.0001217852,0.0012742817,2025-10-15 00:00:00.106000+00:00
xyz:XYZ100,0.0001636190,0.0016089516,2025-10-15 01:00:00.001000+00:00
xyz:XYZ100,0.0000908282,0.0010266254,2025-10-15 02:00:00.048000+00:00
xyz:XYZ100,0.0001876339,0.0018010713,2025-10-15 03:00:00.060000+00:00
xyz:XYZ100,0.0002059448,0.0019475588,2025-10-15 04:00:00.092000+00:00
xyz:XYZ100,0.0000125000,0.0002852953,2025-10-15 05:00:00.054000+00:00
xyz:XYZ100,0.0001018526,0.0011148206,2025-10-15 06:00:00.025000+00:00
xyz:XYZ100,0.0000777303,0.0009218425,2025-10-15 07:00:00+00:00
