coin,fundingRate,premium,time
xyz:SILVER,-0.0000188575,-0.0004508603,2025-12-26 01:00:00.008000+00:00
xyz:SILVER,-0.0001731182,-0.0016849457,2025-12-26 02:00:00.062000+00:00
xyz:SILVER,-0.0000416086,-0.0006328688,2025-12-26 03:00:00+00:00
xyz:SILVER,-0.0000069035,-0.0003552282,2025-12-26 04:00:00.056000+00:00
xyz:SILVER,-0.0000056495,-0.0003451958,2025-12-26 05:00:00.092000+00:00
xyz:SILVER,-0.0000292069,-0.0005336548,2025-12-26 06:00:00.012000+00:00
xyz:SILVER,-0.0000035272,-0.0003282176,2025-12-26 07:00:00.039000+00:00
xyz:SILVER,0.0000125000,0.0002158885,2025-12-26 08:00:00.040000+00:00
xyz:SILVER,0.0000125000,0.0002113099,2025-12-26 09:00:00.017000+00:00
xyz:SILVER,0.0000125000,0.0000012769,2025-12-26 10:00:00.113000+00:00
xyz:SILVER,-0.0000260520,-0.0005084162,2025-12-26 11:00:00.164000+00:00
xyz:SILVER,0.0000081484,-0.0002348125,2025-12-26 12:00:00.040000+00:00
xyz:SILVER,-0.0000358924,-0.0005871393,2025-12-26 13:00:00.030000+00:00
xyz:SILVER,0.0000125000,-0.0001106643,2025-12-26 14:00:00.015000+00:00
xyz:SILVER,0.0000772601,0.0009180806,2025-12-26 15:00:00.077000+00:00
xyz:SILVER,0.0001084478,0.0011675827,2025-12-26 16:00:00.036000+00:00
xyz:SILVER,0.0000637310,0.0008098479,2025-12-26 17:00:00.019000+00:00
xyz:SILVER,0.0001531994,0.0015255950,2025-12-26 18:00:00.088000+00:00
xyz:SILVER,0.0001985182,0.0018881456,2025-12-26 19:00:00.033000+00:00
xyz:SILVER,0.0000125000,0.0003153762,2025-12-26 20:00:00.045000+00:00
xyz:SILVER,-0.0000672487,-0.0008379900,2025-12-26 21:00:00.004000+00:00
xyz:SILVER,-0.0001898036,-0.0018184286,2025-12-26 22:00:00.040000+00:00
xyz:SILVER,-0.0002131198,-0.0020049581,2025-12-26 23:00:00.040000+00:00
xyz:SILVER,-0.0003091132,-0.0027729060,2025-12-27 00:00:00.023000+00:00
xyz:SILVER,-0.0002229391,-0.0020835126,2025-12-27 01:00:00.020000+00:00
xyz:SILVER,-0.0002790527,-0.0025324219,2025-12-27 02:00:00.019000+00:00
xyz:SILVER,-0.0002211334,-0.0020690673,2025-12-27 03:00:00.083000+00:00
xyz:SILVER,-0.0000473180,-0.0006785443,2025-12-27 04:00:00+00:00
xyz:SILVER,-0.0000120097,-0.0003960779,2025-12-27 05:00:00.022000+00:00
xyz:SILVER,-0.0000524788,-0.0007198306,2025-12-27 06:00:00.022000+00:00
xyz:SILVER,0.0000054131,-0.0002566955,2025-12-27 07:00:00.101000+00:00
xyz:SILVER,0.0000125000,0.0002647455,2025-12-27 08:00:00.049000+00:00
xyz:SILVER,0.0000125000,0.0003266062,2025-12-27 09:00:00.024000+00:00
xyz:SILVER,0.0000174318,0.0004394546,2025-12-27 10:00:00.051000+00:00
xyz:SILVER,0.0000332410,0.0005659276,2025-12-27 11:00:00.058000+00:00
xyz:SILVER,0.0000125000,0.0002543198,2025-12-27 12:00:00.048000+00:00
xyz:SILVER,0.0000147790,0.0004182323,2025-12-27 13:00:00.049000+00:00
xyz:SILVER,0.0000151881,0.0005430097,2025-12-27 14:00:00.129000+00:00
xyz:SILVER,0.0000062500,0.0001996393,2025-12-27 15:00:00.130000+00:00
xyz:SILVER,0.0000062500,0.0001060510,2025-12-27 16:00:00.019000+00:00
xyz:SILVER,0.0000062500,0.0003139562,2025-12-27 17:00:00.106000+00:00
xyz:SILVER,0.0000062500,0.0002553574,2025-12-27 18:00:00.021000+00:00
xyz:SILVER,0.0000280882,0.0007494111,2025-12-27 19:00:00.007000+00:00
xyz:SILVER,0.0000062500,0.0003030430,2025-12-27 20:00:00.057000+00:00
xyz:SILVER,0.0000062500,-0.0000792352,2025-12-27 21:00:00.027000+00:00
xyz:SILVER,0.0000062500,0.0000713325,2025-12-27 22:00:00.034000+00:00
xyz:SILVER,0.0000215332,0.0006445307,2025-12-27 23:00:00.018000+00:00
xyz:SILVER,0.0000393904,0.0009302460,2025-12-28 00:00:00.072000+00:00
xyz:SILVER,0.0000895856,0.0017333700,2025-12-28 01:00:00.041000+00:00
xyz:SILVER,0.0000876118,0.0017017888,2025-12-28 02:00:00.027000+00:00
xyz:SILVER,0.0000147551,0.0005360822,2025-12-28 03:00:00.017000+00:00
xyz:SILVER,0.0000631473,0.0013103560,2025-12-28 04:00:00.024000+00:00
xyz:SILVER,0.0002508216,0.0043131461,2025-12-28 05:00:00.062000+00:00
xyz:SILVER,0.0001077754,0.0020244067,2025-12-28 06:00:00.060000+00:00
xyz:SILVER,0.0000961359,0.0018381751,2025-12-28 07:00:00.028000+00:00
xyz:SILVER,0.0002197055,0.0038152878,2025-12-28 08:00:00.040000+00:00
xyz:SILVER,0.0001600052,0.0028600835,2025-12-28 09:00:00.005000+00:00
xyz:SILVER,0.0001602625,0.0028642005,2025-12-28 10:00:00.074000+00:00
xyz:SILVER,0.0000383987,0.0009143797,2025-12-28 11:00:00.057000+00:00
xyz:SILVER,0.0001571660,0.0028146561,2025-12-28 12:00:00.046000+00:00
xyz:SILVER,0.0001485798,0.0026772765,2025-12-28 13:00:00.095000+00:00
xyz:SILVER,0.0001901806,0.0033428895,2025-12-28 14:00:00.095000+00:00
xyz:SILVER,0.0000445697,0.0010131152,2025-12-28 15:00:00.109000+00:00
xyz:SILVER,0.0000841061,0.0016456983,2025-12-28 16:00:00.008000+00:00
