coin,fundingRate,premium,time
xyz:SP500,0.0000062500,0.0002218864,2026-03-18 14:00:00.026000+00:00
xyz:SP500,-0.0000228740,-0.0006659838,2026-03-18 15:00:00.035000+00:00
xyz:SP500,-0.0000077648,-0.0004242365,2026-03-18 16:00:00.009000+00:00
xyz:SP500,-0.0000228767,-0.0006660276,2026-03-18 17:00:00.066000+00:00
xyz:SP500,-0.0000258517,-0.0007136279,2026-03-18 18:00:00.052000+00:00
xyz:SP500,0.0000062500,-0.0001318881,2026-03-18 19:00:00.045000+00:00
xyz:SP500,0.0000026336,-0.0002578618,2026-03-18 20:00:00.055000+00:00
xyz:SP500,-0.0000077638,-0.0004242207,2026-03-18 21:00:00.050000+00:00
xyz:SP500,-0.0000055053,-0.0003880844,2026-03-18 22:00:00.035000+00:00
xyz:SP500,-0.0000192261,-0.0006076170,2026-03-18 23:00:00.040000+00:00
xyz:SP500,-0.0000271541,-0.0007344651,2026-03-19 00:00:00.090000+00:00
xyz:SP500,-0.0000294078,-0.0007705252,2026-03-19 01:00:00.009000+00:00
xyz:SP500,-0.0000251646,-0.0007026339,2026-03-19 02:00:00.012000+00:00
xyz:SP500,-0.0000285809,-0.0007572945,2026-03-19 03:00:00.041000+00:00
xyz:SP500,-0.0000242518,-0.0006880288,2026-03-19 04:00:00.010000+00:00
xyz:SP500,-0.0000321383,-0.0008142132,2026-03-19 05:00:00.090000+00:00
xyz:SP500,-0.0000380781,-0.0009092500,2026-03-19 06:00:00.052000+00:00
xyz:SP500,-0.0000378812,-0.0009060989,2026-03-19 07:00:00.107000+00:00
xyz:SP500,-0.0000141838,-0.0005269407,2026-03-19 08:00:00.064000+00:00
xyz:SP500,-0.0000219805,-0.0006516877,2026-03-19 09:00:00.026000+00:00
xyz:SP500,-0.0000356904,-0.0008710460,2026-03-19 10:00:00.123000+00:00
xyz:SP500,-0.0000277302,-0.0007436833,2026-03-19 11:00:00.052000+00:00
xyz:SP500,-0.0000174059,-0.0005784950,2026-03-19 12:00:00.006000+00:00
xyz:SP500,-0.0000105853,-0.0004693644,2026-03-19 13:00:00.045000+00:00
xyz:SP500,0.0000011625,-0.0002813999,2026-03-19 14:00:00.059000+00:00
xyz:SP500,-0.0000006543,-0.0003104693,2026-03-19 15:00:00.002000+00:00
xyz:SP500,-0.0000241148,-0.0006858363,2026-03-19 16:00:00.031000+00:00
xyz:SP500,-0.0000355147,-0.0008682353,2026-03-19 17:00:00.011000+00:00
xyz:SP500,-0.0000313263,-0.0008012206,2026-03-19 18:00:00.049000+00:00
xyz:SP500,-0.0000054397,-0.0003870347,2026-03-19 19:00:00.024000+00:00
xyz:SP500,-0.0000030013,-0.0003480212,2026-03-19 20:00:00.037000+00:00
xyz:SP500,-0.0000015378,-0.0003246045,2026-03-19 21:00:00.022000+00:00
xyz:SP500,0.0000062500,-0.0000915669,2026-03-19 22:00:00.001000+00:00
xyz:SP500,0.0000024781,-0.0002603511,2026-03-19 23:00:00.001000+00:00
xyz:SP500,-0.0000030625,-0.0003489995,2026-03-20 00:00:00.103000+00:00
xyz:SP500,-0.0000024583,-0.0003393321,2026-03-20 01:00:00.073000+00:00
xyz:SP500,-0.0000078225,-0.0004251594,2026-03-20 02:00:00.053000+00:00
xyz:SP500,-0.0000058098,-0.0003929568,2026-03-20 03:00:00.072000+00:00
xyz:SP500,-0.0000070549,-0.0004128778,2026-03-20 04:00:00.004000+00:00
xyz:SP500,-0.0000033878,-0.0003542054,2026-03-20 05:00:00.107000+00:00
xyz:SP500,-0.0000014548,-0.0003232762,2026-03-20 06:00:00.096000+00:00
xyz:SP500,-0.0000020029,-0.0003320460,2026-03-20 07:00:00.012000+00:00
xyz:SP500,-0.0000050468,-0.0003807495,2026-03-20 08:00:00.003000+00:00
xyz:SP500,-0.0000022990,-0.0003367838,2026-03-20 09:00:00.021000+00:00
xyz:SP500,-0.0000080257,-0.0004284106,2026-03-20 10:00:00.063000+00:00
xyz:SP500,-0.0000055363,-0.0003885814,2026-03-20 11:00:00.048000+00:00
xyz:SP500,-0.0000069834,-0.0004117337,2026-03-20 12:00:00.087000+00:00
xyz:SP500,-0.0000039398,-0.0003630373,2026-03-20 13:00:00.148000+00:00
xyz:SP500,-0.0000226897,-0.0006630345,2026-03-20 14:00:00.115000+00:00
xyz:SP500,-0.0000214921,-0.0006438735,2026-03-20 15:00:00.034000+00:00
xyz:SP500,-0.0000138709,-0.0005219336,2026-03-20 16:00:00.074000+00:00
xyz:SP500,-0.0000002909,-0.0003046547,2026-03-20 17:00:00.075000+00:00
xyz:SP500,-0.0000112793,-0.0004804689,2026-03-20 18:00:00.035000+00:00
xyz:SP500,0.0000023372,-0.0002626047,2026-03-20 19:00:00.044000+00:00
