coin,fundingRate,premium,time
xyz:TSLA,0.0000423041,0.0006384329,2025-11-13 15:00:00.014000+00:00
xyz:TSLA,0.0000125000,0.0002973013,2025-11-13 16:00:00.012000+00:00
xyz:TSLA,0.0000125000,0.0000807035,2025-11-13 17:00:00.042000+00:00
xyz:TSLA,0.0000125772,0.0004006174,2025-11-13 18:00:00.058000+00:00
xyz:TSLA,0.0000428698,0.0006429582,2025-11-13 19:00:00.062000+00:00
xyz:TSLA,0.0000125000,0.0001483826,2025-11-13 20:00:00.061000+00:00
xyz:TSLA,0.0000125000,0.0000703708,2025-11-13 21:00:00.046000+00:00
xyz:TSLA,0.0000125000,0.0001633636,2025-11-13 22:00:00.013000+00:00
xyz:TSLA,0.0000125000,0.0000213693,2025-11-13 23:00:00.059000+00:00
xyz:TSLA,0.0000137505,0.0004100040,2025-11-14 00:00:00.130000+00:00
xyz:TSLA,0.0000125000,-0.0000700310,2025-11-14 01:00:00.014000+00:00
xyz:TSLA,0.0000125000,-0.0001310538,2025-11-14 02:00:00.069000+00:00
xyz:TSLA,0.0000125000,0.0003473930,2025-11-14 03:00:00.085000+00:00
xyz:TSLA,0.0000045453,-0.0002636376,2025-11-14 04:00:00.024000+00:00
xyz:TSLA,0.0000582534,0.0007660269,2025-11-14 05:00:00.029000+00:00
xyz:TSLA,0.0000867645,0.0009941163,2025-11-14 06:00:00.096000+00:00
xyz:TSLA,0.0000944653,0.0010557224,2025-11-14 07:00:00.019000+00:00
xyz:TSLA,0.0000125000,0.0003091840,2025-11-14 08:00:00.098000+00:00
xyz:TSLA,0.0000983969,0.0010871749,2025-11-14 09:00:00.137000+00:00
xyz:TSLA,0.0000588029,0.0007704232,2025-11-14 10:00:00.036000+00:00
xyz:TSLA,0.0001539943,0.0015319545,2025-11-14 11:00:00.052000+00:00
xyz:TSLA,0.0000670424,0.0008363393,2025-11-14 12:00:00.046000+00:00
xyz:TSLA,0.0000125000,0.0001613927,2025-11-14 13:00:00.041000+00:00
xyz:TSLA,0.0000125000,0.0000131969,2025-11-14 14:00:00.034000+00:00
xyz:TSLA,0.0000125000,0.0003942798,2025-11-14 15:00:00.013000+00:00
xyz:TSLA,0.0000200724,0.0004605791,2025-11-14 16:00:00.014000+00:00
xyz:TSLA,0.0000125000,-0.0000679967,2025-11-14 17:00:00.079000+00:00
xyz:TSLA,0.0000125000,-0.0000384978,2025-11-14 18:00:00.020000+00:00
