asset,market,n_hourly,n_daily,mean_daily_bps,std_daily_bps,min_daily_bps,max_daily_bps
QQQ,xyz:XYZ100,4500,189,1.7392,6.3545,-10.2980,59.1756
NVDA,xyz:NVDA,3786,159,3.1436,5.9724,-16.7033,31.3379
TSLA,xyz:TSLA,3768,158,1.9293,4.1246,-11.8970,21.9817
PLTR,xyz:PLTR,3743,157,-0.0997,5.8044,-25.1306,19.8171
AMZN,xyz:AMZN,3645,153,2.3260,3.9719,-9.8936,16.8516
GOOGL,xyz:GOOGL,3646,153,3.1048,4.6471,-10.7021,26.1484
MSFT,xyz:MSFT,3624,152,2.0404,3.1099,-8.7597,15.4181
META,xyz:META,3600,151,1.3390,3.1299,-13.7645,12.2142
AAPL,xyz:AAPL,3500,147,1.4789,3.3020,-7.2218,18.6885
COIN,xyz:COIN,3477,146,0.1121,6.9886,-32.0386,16.3659
MSTR,xyz:MSTR,3311,139,2.1746,9.9902,-53.3557,44.5039
AMD,xyz:AMD,3264,137,0.3454,6.9393,-36.2598,15.0206
NFLX,xyz:NFLX,3168,133,1.0071,6.4034,-26.8121,32.5044
GOLD,xyz:GOLD,2832,119,2.4408,4.1667,-7.2982,21.7139
SILVER,xyz:SILVER,2750,115,3.2145,7.2350,-15.4487,43.9520
OIL,xyz:CL,2472,104,-3.1693,29.3655,-141.7834,48.9022
SPY,xyz:SP500,769,33,-2.5055,3.6349,-12.1901,3.1813
