underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,200.0,-0.33697216395256596,78.35,81.75,80.2,3.014650900878906,5.0,10.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,205.0,-0.31227955136219443,73.35,76.75,75.41,2.8339872900390626,7.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,210.0,-0.2881819997831339,68.35,71.75,69.99,2.6562533593750004,8.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,215.0,-0.2646515023729398,63.55,66.1,65.01,2.1904342114257807,24.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,220.0,-0.24166198414824117,58.55,61.1,60.17,2.0332080419921876,25.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,225.0,-0.21918912829618256,53.6,56.05,55.1,1.8544929150390623,33.0,16.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,230.0,-0.19721022157740728,48.65,51.15,49.99,1.74609501953125,199.0,6.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,235.0,-0.17570401635644367,43.55,46.15,45.01,1.593263752441406,50.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,237.5,-0.16512190702590673,40.9,43.8,42.55,1.5732443212890623,22.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,240.0,-0.15465060715861131,38.85,41.05,40.07,1.40234673828125,281.0,1.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,242.5,-0.14428782012306474,35.85,38.65,37.54,1.365237548828125,9.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,245.0,-0.1340313199558756,33.6,36.35,35.06,1.3559602514648437,18.0,0.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,247.5,-0.12387894849185761,31.0,33.9,32.55,1.29297228515625,17.0,5.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,250.0,-0.11382861263835616,28.7,31.05,30.05,1.1049849438476564,170.0,129.0,280.1400146484375
AAPL,AAPL,2026-05-04,0.0027397260273972603,C,252.5,-0.1038782817851882,25.8,29.35,27.97,1.2500037499999999,2.0,16.0,280.1400146484375
