underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
AMD,AMD,2026-05-08,0.010958904109589041,C,110.0,-1.1871225654818185,248.95,251.8,242.55,4.832035209960937,10.0,16.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,115.0,-1.1426708029109849,243.5,246.8,203.52,4.661136986083983,5.0,11.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,120.0,-1.1001111884921888,238.95,241.8,227.88,4.498051252441406,12.0,5.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,125.0,-1.0592891939719338,233.55,236.8,235.41,4.342778009033202,5.0,2.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,130.0,-1.0200684808186524,228.95,231.8,222.24,4.193364133300782,10.0,18.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,135.0,-0.9823281528358054,223.9,226.8,217.39,4.049809625244141,1.0,6.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,140.0,-0.9459605086649305,218.95,221.8,207.65,3.9111330346679694,10.0,13.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,145.0,-0.9108691888536605,214.15,216.8,216.36,3.778320866699219,1.0,21.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,150.0,-0.8769676371779791,208.9,211.8,208.08,3.6503914990234376,17.0,31.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,155.0,-0.8441778143549882,203.9,206.55,197.64,3.3964858837890626,1.0,38.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,160.0,-0.812429116040408,198.9,201.8,201.37,3.405274924316406,3.0,35.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,165.0,-0.7816574573736542,193.95,196.8,192.91,3.28906427734375,5.0,51.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,170.0,-0.7518044942239731,189.0,191.85,188.33,3.1982441918945312,8.0,61.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,175.0,-0.7228169573507208,184.0,186.85,180.25,3.0878929052734367,3.0,76.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,180.0,-0.6946460803840245,178.95,181.85,178.5,2.9804712988281246,3.0,64.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,185.0,-0.6672471061959101,174.0,176.85,173.2,2.875979372558594,8.0,49.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,190.0,-0.6405788591137487,169.05,171.75,167.7,2.734866444091797,1.0,211.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,195.0,-0.614603372710488,164.0,166.85,152.68,2.674808000488282,2.0,63.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,200.0,-0.5892855647261982,159.55,161.8,160.55,1.8515632421875,9.0,193.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,205.0,-0.5645929521358266,154.05,157.05,155.7,1.3750031249999999,11.0,207.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,210.0,-0.5404954005567661,149.05,151.55,150.49,2.281254296875,24.0,278.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,215.0,-0.5169649031465722,144.05,146.75,145.48,2.2670941760253904,68.0,284.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,217.5,-0.505404080745496,141.6,144.1,140.0,2.1704147302246093,9.0,5.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,220.0,-0.49397538492187326,139.05,141.65,139.67,2.145512448730469,113.0,332.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,222.5,-0.48267582966794004,136.1,139.15,131.77,2.10303208618164,2.0,18.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,225.0,-0.4715025290698147,134.05,136.5,134.25,2.00781748046875,70.0,1027.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,227.5,-0.4604526928832297,131.6,134.4,134.0,2.0981492858886717,4.0,1.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,230.0,-0.44952362235103954,129.65,131.75,130.04,1.4765651171875,134.0,544.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,232.5,-0.43871270624682385,126.4,129.45,128.51,2.0273486816406248,3.0,15.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,235.0,-0.42801741713007585,124.1,126.95,126.33,1.9853516357421874,11.0,646.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,237.5,-0.417435307799539,121.6,124.45,122.41,1.9438479370117188,8.0,18.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,240.0,-0.4069640079322436,119.1,122.15,120.05,1.2519568652343749,75.0,1352.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,242.5,-0.3966012208966969,117.15,119.45,118.8,1.40625296875,19.0,15.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,245.0,-0.38634472072950793,114.35,117.0,115.82,1.26172244140625,44.0,759.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,247.5,-0.3761923492654899,111.6,114.45,112.4,1.78125109375,12.0,14.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,250.0,-0.3661420134119884,110.0,111.85,110.0,1.3867218164062498,233.0,1401.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,252.5,-0.3561916825588204,106.65,109.55,108.13,1.0664109179687502,31.0,11.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,255.0,-0.3463393861158087,104.15,106.55,105.39,1.5561545629882811,63.0,1190.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,257.5,-0.336583211170444,101.7,104.55,92.67,1.0546922265625,2.0,79.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,260.0,-0.3269213002587072,99.8,101.6,98.87,1.109379453125,38.0,1129.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,262.5,-0.31735184924255644,96.8,99.65,99.45,1.1015669921875002,14.0,37.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,265.0,-0.3078731052880126,94.4,97.1,95.29,1.08984830078125,61.0,447.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,267.5,-0.2984833649381737,91.9,94.6,93.35,1.0605515722656251,15.0,32.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,270.0,-0.2891809722758601,90.0,91.65,91.04,1.0781296093750001,106.0,1091.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,272.5,-0.27996431717093606,86.9,89.8,87.68,1.0615281298828125,2.0,85.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,275.0,-0.2708318336076636,85.55,86.9,86.0,1.1767619287109374,78.0,542.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,277.5,-0.26178199808774566,81.95,84.9,74.68,1.0361376318359379,11.0,91.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,280.0,-0.2528133281049852,80.35,82.35,80.59,1.1460003637695313,220.0,1747.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,282.5,-0.24392438068773928,77.25,80.0,77.2,1.0468797656250002,6.0,254.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,285.0,-0.23511375100558432,75.6,76.9,76.26,1.0517625537109376,82.0,780.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,287.5,-0.2263800710368297,72.2,74.65,71.25,0.9145516357421876,3.0,161.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,290.0,-0.21772200829371519,70.5,72.2,72.0,1.0122119702148438,140.0,1531.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,292.5,-0.20913826460232368,67.55,70.0,68.77,0.9609378906249999,30.0,995.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,295.0,-0.200627574934415,65.05,67.95,66.26,0.9804689453125001,78.0,299.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,297.5,-0.19218870628855045,63.35,66.05,63.2,1.0727585424804689,5.0,152.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,300.0,-0.1838204566180338,61.05,62.7,62.1,0.983398603515625,386.0,1329.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,302.5,-0.17552165380333867,57.9,60.2,56.64,0.8896495410156249,7.0,146.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,305.0,-0.1672911546668233,56.45,57.85,57.5,0.9562992651367187,120.0,713.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,307.5,-0.1591278440276623,53.75,56.4,55.04,0.9790041162109376,45.0,210.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,310.0,-0.1510306337950429,51.7,54.15,52.7,0.9848634326171876,394.0,850.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,312.5,-0.14299846209777872,49.25,51.3,50.82,0.928711650390625,7.0,213.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,315.0,-0.1350302924486018,47.85,49.3,49.1,0.9783937707519532,31.0,502.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,317.5,-0.12712511294148848,45.0,47.1,46.4,0.9355475195312499,18.0,260.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,320.0,-0.11928193548046268,42.95,44.65,44.3,0.9196785375976562,332.0,1552.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,322.5,-0.11149979503840768,41.05,42.9,42.45,0.9399420068359375,232.0,840.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,325.0,-0.10377774894449733,39.6,41.2,39.57,0.9741213525390625,126.0,934.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,327.5,-0.09611487619892829,37.4,39.25,37.02,0.9625247888183592,31.0,696.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,330.0,-0.08851027681370895,35.75,36.55,35.2,0.9410406286621094,407.0,1173.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,332.5,-0.08096307117832599,33.8,34.85,32.68,0.9427495959472656,601.0,381.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,335.0,-0.07347239944916846,31.95,32.95,32.4,0.9373785559082031,336.0,888.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,337.5,-0.06603742096165034,30.0,31.0,30.52,0.9240730249023439,588.0,469.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,340.0,-0.058657313664027745,28.5,29.35,28.45,0.9318854467773439,667.0,1803.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,342.5,-0.05133127357195492,26.65,27.7,26.51,0.9251716467285156,196.0,317.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,345.0,-0.0440585142428751,25.4,26.05,26.05,0.9331061376953125,362.0,1119.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,347.5,-0.036838266269388,23.85,24.5,24.05,0.93164130859375,250.0,467.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,350.0,-0.029669776790775534,22.45,22.85,22.76,0.9283454431152343,2337.0,3699.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,352.5,-0.022552309021911517,21.0,21.55,21.25,0.9301764794921875,1362.0,1586.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,355.0,-0.015485141798819138,19.7,20.2,20.05,0.9315192395019531,6104.0,832.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,357.5,-0.008467569140172552,18.4,18.9,18.66,0.9310309631347657,1817.0,323.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,360.0,-0.0014988998240791738,17.2,17.65,17.5,0.9313971704101562,11869.0,3116.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,362.5,0.005421543020494644,16.0,16.5,16.3,0.9313971704101562,1372.0,1902.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,365.0,0.012294422308256718,14.95,15.4,15.17,0.9335944140625,6626.0,950.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,367.5,0.019120387378656397,13.9,14.35,13.95,0.9342047595214844,4387.0,235.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,370.0,0.025900074364035196,12.9,13.3,13.0,0.9331061376953125,5525.0,3335.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,372.5,0.032634106545379314,12.0,12.45,12.0,0.9373785559082031,356.0,1036.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,375.0,0.03932309469617595,11.1,11.45,11.3,0.934448897705078,1834.0,1128.0,360.5400085449219
AMD,AMD,2026-05-08,0.010958904109589041,C,377.5,0.04596763741484457,10.3,10.75,10.45,0.9400640759277343,460.0,1121.0,360.5400085449219
