underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,200.0,-0.29363932932948933,66.4,69.95,65.4,2.7382844042968753,,2,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,205.0,-0.26894671673911774,61.4,65.0,60.82,2.573245754394531,1.0,2,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,210.0,-0.2448491651600573,56.4,59.85,54.0,2.3330119799804683,2.0,3,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,212.5,-0.2330147075130544,53.95,57.4,51.67,2.2626996557617183,3.0,3,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,215.0,-0.22131866774986314,51.45,54.55,51.94,2.037114282226563,1.0,8,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,217.5,-0.2097578453487872,48.95,52.45,50.87,2.102543806152343,10.0,3,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,220.0,-0.19832914952516434,46.4,49.95,48.38,2.014165120849609,33.0,61,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,222.5,-0.187029594271231,43.95,46.4,46.47,1.4834010205078125,19.0,6,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,225.0,-0.17585629367310582,41.5,44.15,43.68,1.5380882470703123,27.0,15,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,227.5,-0.1648064574865209,38.9,42.4,41.1,1.7348646069335936,8.0,11,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,230.0,-0.15387738695433054,36.4,38.7,38.62,1.142582412109375,7.0,15,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,232.5,-0.14306647085011492,33.9,37.45,32.65,1.575685715332031,43.0,4,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,235.0,-0.132371181733367,31.4,34.8,33.61,1.445803552246094,5.0,35,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,237.5,-0.1217890724028301,28.95,32.5,31.32,1.414553708496094,2.0,10,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,240.0,-0.11131777253553461,27.35,28.9,28.75,0.975586181640625,10.0,88,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,242.5,-0.10095498549998806,24.3,27.45,29.5,1.2260780883789062,301.0,348,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,245.0,-0.09069848533279899,21.6,24.1,23.97,0.9038095556640625,10.0,66,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,247.5,-0.0805461138687809,19.4,21.7,24.75,0.85742330078125,22.0,30,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,250.0,-0.0704957780152795,18.05,18.75,18.4,0.6279334082031252,118.0,357,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,252.5,-0.060545447162111445,15.6,17.1,16.0,0.594730615234375,1021.0,1057,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,255.0,-0.05069315071909985,13.1,13.9,13.5,0.5361374511718751,150.0,345,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,257.5,-0.040936975773735076,9.9,11.45,11.03,0.4726615234375,122.0,343,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,260.0,-0.031275064861998214,8.3,8.75,8.5,0.3413151806640625,1225.0,3699,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,262.5,-0.021705613845847536,5.95,6.35,6.16,0.2876047802734374,2464.0,2485,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,265.0,-0.012226869891303683,3.95,4.25,4.11,0.26856200195312496,4260.0,1970,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,267.5,-0.0028371295414646855,2.32,2.47,2.43,0.24976336181640624,4273.0,991,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,270.0,0.006465263120848804,1.2,1.25,1.24,0.24390404541015626,15367.0,3065,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,272.5,0.015681918225772782,0.58,0.62,0.6,0.25586681640625003,9824.0,2289,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,275.0,0.024814401789045277,0.29,0.32,0.29,0.2758861474609374,10772.0,2022,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,277.5,0.03386423730896316,0.15,0.16,0.15,0.2929758203124999,5420.0,1250,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,280.0,0.042832907291723746,0.08,0.09,0.09,0.31641308593749995,3705.0,1596,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,282.5,0.05172185470896974,0.04,0.06,0.06,0.34570966796874997,2657.0,787,268.260009765625
AMZN,AMZN,2026-05-04,0.0027397260273972603,C,285.0,0.06053248439112461,0.03,0.04,0.03,0.3711000390625,810.0,1458,268.260009765625
