underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
COIN,COIN,2026-05-08,0.010958904109589041,C,50.0,-1.341558467278499,137.45,145.05,142.43,0.500005,20.0,2,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,75.0,-0.9360933591703348,114.5,119.25,92.5,3.8300785498046874,,10,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,80.0,-0.8715548380327636,109.5,114.25,120.13,3.5878916552734372,2.0,11,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,85.0,-0.8109302162163288,104.5,109.15,82.65,3.3125017187499997,16.0,9,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,90.0,-0.7537718023763802,98.7,104.25,77.9,2.685550161132813,,11,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,95.0,-0.6997045811061043,93.9,99.2,73.05,2.615237836914063,,11,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,100.0,-0.6484112867185537,88.7,94.3,69.4,2.376957182617187,4.0,3,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,105.0,-0.5996211225491218,83.85,88.4,63.2,3.325196999511718,2.0,3,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,110.0,-0.5531011069142291,78.8,85.55,58.95,2.577151994628906,2.0,2,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,115.0,-0.5086493443433951,74.0,78.5,81.57,0.500005,2.0,6,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,120.0,-0.46608972992459924,69.15,72.65,61.1,2.436527346191406,10.0,16,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,125.0,-0.4252677354043441,64.4,69.35,54.16,1.9072270263671878,8.0,27,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,130.0,-0.38604702225106274,58.9,64.3,57.65,1.5820333398437496,21.0,17,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,135.0,-0.3483066942682157,54.45,57.95,52.72,2.0166065209960937,44.0,9,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,140.0,-0.31193905009734096,49.65,53.55,52.02,1.3173862255859374,29.0,33,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,141.0,-0.3048215823284769,48.3,54.35,59.49,1.62109564453125,1.0,1,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,145.0,-0.27684773028607085,44.5,48.4,46.77,1.083988955078125,41.0,35,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,146.0,-0.26997485099830887,43.9,48.5,39.5,1.4287137939453123,,15,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,147.0,-0.26314888592790886,43.35,47.55,35.36,1.480959626464844,,6,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,148.0,-0.25636919894253013,41.7,46.55,39.82,1.3452181176757811,,1,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,149.0,-0.24963516676118608,40.45,45.65,38.87,1.2900426123046875,,1,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,150.0,-0.24294617861038947,39.4,43.55,41.93,0.9873048144531251,27.0,38,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,152.5,-0.22641687665917884,37.3,42.3,31.3,1.2734411328124997,,3,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,155.0,-0.21015635578739858,35.25,38.7,36.91,1.0996138769531252,36.0,97,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,157.5,-0.1941560144409575,32.75,37.7,31.79,1.2392616162109373,,1,191.25
COIN,COIN,2026-05-08,0.010958904109589041,C,160.0,-0.17840765747281825,30.35,33.95,33.71,1.0185595947265624,12.0,55,191.25
