underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
GOLD,GLD,2026-05-04,0.0027397260273972603,C,290.0,-0.37791668016005,131.85,133.75,139.63,2.5595739135742184,,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,295.0,-0.36082224680074976,127.3,128.85,125.15,2.5234411914062496,,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,300.0,-0.3440151284843686,121.75,124.65,124.33,1.5781271093749998,2.0,2,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,315.0,-0.29522496431493656,106.7,109.7,105.2,1.3750031249999999,,27,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,320.0,-0.27947660734679747,101.65,104.55,100.23,2.318851859130859,,27,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,325.0,-0.26397242081083216,96.7,99.6,95.83,2.2294966137695305,,6,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,330.0,-0.2487049486800438,92.4,94.45,90.92,1.5644553027343748,,8,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,335.0,-0.23366707131550324,86.8,89.55,85.56,2.0029346801757812,,3,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,340.0,-0.21885198553036253,81.75,84.75,80.57,1.1875040625,,11,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,345.0,-0.20425318610920992,76.75,79.55,75.99,1.7968760156249999,,8,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,350.0,-0.18986444865711025,71.75,74.75,71.08,1.0468797656250002,,3,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,355.0,-0.1756798136651539,66.7,69.55,65.71,1.593263752441406,2.0,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,360.0,-0.16169357169041396,61.85,64.65,66.18,0.9062509375,4.0,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,365.0,-0.1479002495580782,56.8,59.0,61.2,1.2412147314453121,4.0,2,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,370.0,-0.13429459750229952,51.8,54.65,53.2,0.7304714453125,2.0,4,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,375.0,-0.12087157717015891,46.8,49.7,42.05,0.70117486328125,,10,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,380.0,-0.10762635042013821,41.95,44.75,37.1,0.7187528125,2.0,10,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,385.0,-0.09455426885278538,36.85,39.7,45.24,0.5898478515625001,,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,388.0,-0.08679226351729628,33.75,36.65,38.7,0.9465337377929688,80.0,0,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,389.0,-0.08421825952212335,32.8,35.7,37.72,0.5117236328125,80.0,0,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,390.0,-0.08165086401687757,31.8,34.55,32.4,0.8874522973632811,205.0,23,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,391.0,-0.07909004315520395,31.0,33.0,32.85,0.7583031982421876,,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,392.0,-0.07653576335010709,30.15,31.8,31.85,0.6918976123046876,,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,393.0,-0.07398799127130844,29.05,30.95,30.09,0.7094755615234375,40.0,200,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,395.0,-0.06891183823944776,27.45,29.55,27.54,0.5537154003906251,,25,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,396.0,-0.06638339188608912,26.1,27.9,28.19,0.6425816992187501,,4,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,397.0,-0.06386132245337929,25.0,26.9,27.2,0.6235389208984375,,4,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,398.0,-0.06134559785613191,24.05,25.95,25.11,0.6152382226562501,40.0,200,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,400.0,-0.0563330560325877,21.85,23.85,24.2,0.5571333349609376,1.0,19,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,401.0,-0.053836175834000424,20.8,23.65,18.5,0.674075524902344,,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,402.0,-0.051345514521548584,20.8,21.8,16.22,0.5092822509765625,,3,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,403.0,-0.0488610411938867,19.45,21.1,15.96,0.5461471166992189,,3,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,404.0,-0.046382725179419645,18.95,20.35,13.67,0.5656781713867188,,3,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,405.0,-0.043910536034030494,17.45,19.1,14.75,0.50586431640625,10.0,21,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,406.0,-0.04144444353883703,16.95,17.85,13.92,0.44336494140625,,3,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,407.0,-0.03898441769797472,15.95,17.1,11.17,0.46533737792968755,,2,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,408.0,-0.03653042873640793,14.45,16.15,11.24,0.45215391601562505,,0,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,409.0,-0.03408244709776792,13.95,15.15,18.54,0.43115803222656257,2.0,1,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,410.0,-0.03164044344221621,13.0,13.85,16.94,0.36499658447265626,3.0,44,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,411.0,-0.029204388644335017,12.0,12.95,13.5,0.3601138208007812,44.0,4,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,412.0,-0.026774253791043267,11.0,11.95,11.56,0.3393620751953125,3.0,12,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,413.0,-0.024350010179536936,10.05,10.95,5.94,0.31836619140624994,,12,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,414.0,-0.021931629315255233,9.1,10.3,12.25,0.34058276611328125,10.0,33,423.17999267578125
GOLD,GLD,2026-05-04,0.0027397260273972603,C,415.0,-0.019519082909871352,8.15,9.05,8.8,0.28784891845703114,185.0,44,423.17999267578125
