underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,285.0,-0.3025447640532134,98.7,101.6,99.22,2.328129179687499,9.0,1,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,287.5,-0.2938110840844588,96.25,99.1,93.63,2.2714886962890626,2.0,1,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,290.0,-0.2851530213413441,93.7,96.6,91.15,2.215824772949218,,3,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,292.5,-0.27656927764995276,91.2,94.1,91.67,2.1591842895507813,2.0,2,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,295.0,-0.26805858798204407,88.7,91.4,90.0,2.0087940405273432,28.0,33,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,297.5,-0.2596197193361794,86.2,89.65,86.69,2.2568402954101563,2.0,10,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,300.0,-0.2512514696656629,83.7,86.5,85.88,1.9492190039062502,1.0,37,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,302.5,-0.24295266685096775,81.2,84.9,81.86,2.215824772949218,2.0,23,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,305.0,-0.23472216771445223,78.7,82.5,79.44,2.1845748510742187,1.0,33,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,307.5,-0.22655885707529141,76.2,80.0,43.35,2.124028127441406,134.0,7,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,310.0,-0.218461646842672,73.7,77.5,74.82,2.06396968383789,10.0,28,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,312.5,-0.2104294751454077,71.15,74.95,63.3,1.9907227026367185,,9,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,315.0,-0.2024613054962309,68.65,72.45,34.99,1.9311526879882814,56.0,21,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,317.5,-0.1945561259891176,66.2,69.95,32.97,1.8720709521484376,,6,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,320.0,-0.18671294852809167,63.7,67.4,60.35,1.800293967285156,3.0,14,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,322.5,-0.17893080808603667,61.2,64.95,62.73,1.7543957592773438,1.0,2,385.69000244140625
GOOGL,GOOGL,2026-05-04,0.0027397260273972603,C,325.0,-0.17120876199212645,58.7,62.4,59.81,1.6831070532226562,59.0,60,385.69000244140625
