underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,355.0,-0.15481042779899093,57.4,61.1,60.58,0.8476577734374999,3.0,18.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,357.5,-0.1477928551403444,55.0,58.0,58.83,1.3774445190429687,7.0,1.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,360.0,-0.1408241858242511,52.55,56.1,55.78,0.8710950390625,4.0,3.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,362.5,-0.13390374297967722,49.9,53.0,52.55,1.2753942480468747,2.0,0.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,365.0,-0.1270308636919152,47.65,50.25,50.62,1.1635784008789063,66.0,63.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,367.5,-0.12020489862151539,44.9,47.7,48.25,1.1015669921875002,2.0,7.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,370.0,-0.11342521163613664,42.5,45.55,46.22,1.1328168359375002,1.0,12.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,372.5,-0.10669117945479259,40.0,43.0,43.22,1.070805427246094,4.0,0.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,375.0,-0.10000219130399589,37.5,40.95,40.22,0.5351608984375,3.0,31.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,380.0,-0.0867569645539753,33.0,35.0,33.93,0.8105487695312499,12.0,25.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,382.5,-0.08019956400781626,30.3,33.45,32.58,0.5634809277343751,1.0,0.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,385.0,-0.07368488298662247,27.85,31.0,31.19,0.5478560839843751,4.0,30.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,387.5,-0.06721236848100504,25.1,28.2,16.6,0.7929708203125,,10.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,390.0,-0.060781478150714635,23.0,24.95,23.97,0.6069375244140626,14.0,86.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,392.5,-0.05439168005194365,20.15,23.5,19.98,0.726565234375,3.0,83.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,395.0,-0.04804245237328481,17.85,20.0,21.25,0.5180712255859375,46.0,39.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,397.5,-0.04173328318002012,15.25,17.65,18.78,0.49170430175781255,14.0,125.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,400.0,-0.03546367016642475,13.7,15.2,14.5,0.44605046142578125,432.0,466.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,402.5,-0.0292331204157887,11.5,12.7,12.55,0.39111937011718745,220.0,533.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,405.0,-0.023041150167867647,9.65,10.4,9.75,0.35864899169921877,402.0,686.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,407.5,-0.016887284593489302,7.55,8.1,7.85,0.3186103295898437,620.0,646.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,410.0,-0.010771057576053237,5.7,6.05,5.8,0.2930978894042968,3558.0,882.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,412.5,-0.004692011499671075,4.1,4.4,4.2,0.28565167480468745,5024.0,455.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,415.0,0.001350302956291634,2.86,2.94,2.89,0.27173579833984374,10378.0,766.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,417.5,0.007356327016503373,1.87,1.95,1.95,0.27246821289062495,7749.0,565.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,420.0,0.013326494003007276,1.19,1.3,1.22,0.28040270385742183,12981.0,2892.0,414.44000244140625
MSFT,MSFT,2026-05-04,0.0027397260273972603,C,422.5,0.01926122952282169,0.75,0.82,0.77,0.2846751220703124,3434.0,366.0,414.44000244140625
