underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
MSTR,MSTR,2026-05-08,0.010958904109589041,C,50.0,-1.2650867078491843,124.0,130.85,89.0,4.484379394531249,1.0,0.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,60.0,-1.0827651510552299,114.8,120.8,70.2,4.445316943359375,1.0,2.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,65.0,-1.0027224433816935,110.2,114.45,111.0,3.3671890820312496,1.0,20.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,80.0,-0.795083078603449,95.95,98.65,89.16,2.6484408789062504,,60.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,85.0,-0.734458456787014,89.05,95.6,94.13,2.5195349511718748,1.0,3.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,90.0,-0.6773000429470655,85.85,88.65,87.13,2.1523483691406247,21.0,50.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,95.0,-0.6232328216767896,80.8,83.7,82.64,1.9921875390625,3.0,69.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,100.0,-0.571939527289239,75.85,78.65,76.88,1.8437507812499998,2.0,118.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,105.0,-0.5231493631198071,70.9,73.4,66.8,2.6513705590820313,3.0,29.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,110.0,-0.4766293474849142,66.05,68.95,62.69,1.9072270263671878,3.0,23.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,111.0,-0.46757951196499636,64.2,70.05,58.52,2.2841839770507812,1.0,2.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,112.0,-0.4586108419822359,63.2,69.05,63.2,2.247074694824218,,1.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,113.0,-0.44972189456498995,62.2,68.05,20.74,2.2109419726562494,,5.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,115.0,-0.4321775849140805,60.9,64.25,62.73,1.8125009374999999,5.0,10.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,117.0,-0.4149357784795743,58.45,64.05,44.49,2.123051567382812,1.0,3.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,118.0,-0.4064250888116658,57.45,62.65,60.65,1.99609376953125,1.0,0.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,119.0,-0.39798622016580104,56.7,60.5,58.0,1.7060561572265625,1.0,2.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,120.0,-0.38961797049528457,56.05,58.75,57.09,1.509768076171875,1.0,54.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,121.0,-0.3813191676805894,55.0,58.15,43.19,1.626954990234375,1.0,28.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,122.0,-0.37308866854407385,53.7,57.6,55.54,1.6474627001953124,4.0,5.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,123.0,-0.364925357904913,52.35,58.0,51.0,1.8798834130859374,3.0,5.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,124.0,-0.3568281476722936,51.2,56.0,42.11,1.5546897265624997,5.0,15.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,125.0,-0.3487959759750294,51.0,53.6,52.16,1.2578162109375,702.0,177.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,126.0,-0.34082780632585247,50.0,52.85,51.8,1.365237548828125,3.0,67.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,127.0,-0.3329226268187393,48.7,51.95,51.81,1.2382850585937497,2.0,12.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,128.0,-0.3250794493577133,48.0,51.45,47.97,1.5078149609375,13.0,13.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,129.0,-0.3172973089156583,46.05,51.85,29.2,1.5854512915039058,4.0,67.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,130.0,-0.3095752628217481,46.55,48.6,47.51,1.3623078759765623,113.0,2735.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,131.0,-0.30191239007617887,45.05,48.05,28.67,1.3183627832031248,16.0,21.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,132.0,-0.2943077906909597,44.05,47.05,45.95,1.2900426123046875,8.0,15.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,133.0,-0.2867605850555767,43.0,46.05,31.05,1.2470740771484374,4.0,93.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,134.0,-0.2792699133264192,42.1,44.95,44.65,1.21875390625,9.0,32.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,135.0,-0.27183493483890103,41.15,44.1,42.77,1.2490271923828122,27.0,383.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,136.0,-0.2644548275412784,40.0,42.7,41.03,1.0371141894531253,13.0,47.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,137.0,-0.2571287874492056,39.15,42.2,39.36,1.2177773486328123,2.0,47.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,138.0,-0.24985602812012575,38.2,41.05,38.15,1.1650432373046877,11.0,55.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,139.0,-0.24263578014663878,37.0,40.5,37.16,1.1953165234375,7.0,57.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,140.0,-0.23546729066802619,36.45,38.1,37.68,0.8632826171875,135.0,795.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,141.0,-0.22834982289916228,35.2,37.95,36.3,1.056645341796875,18.0,211.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,142.0,-0.22128265567606978,34.1,37.0,36.9,1.0166064794921876,31.0,164.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,143.0,-0.21426508301742317,33.5,35.85,35.75,1.0488328808593752,18.0,125.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,144.0,-0.2072964137013299,32.3,35.1,35.24,1.031743122558594,5.0,30.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,145.0,-0.20037597085675607,32.2,33.35,32.81,1.0336962377929688,123.0,1643.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,146.0,-0.1935030915689941,30.35,33.2,34.05,1.0053760668945313,1.0,80.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,147.0,-0.1866771264985942,29.25,32.2,30.88,0.9580082324218748,283.0,45.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,148.0,-0.17989743951321535,28.85,31.25,30.86,1.0390673046875003,9.0,45.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,149.0,-0.17316340733187136,27.35,29.85,29.15,0.8535170898437501,14.0,114.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,150.0,-0.1664744191810747,27.65,28.35,28.15,0.9643558251953125,584.0,2261.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,152.5,-0.14994511722986412,24.75,26.5,25.16,0.9248054394531251,24.0,200.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,155.0,-0.1336845963580838,22.8,24.7,23.1,0.9899903344726562,191.0,1759.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,157.5,-0.11768425501164267,20.4,21.4,20.57,0.8354508642578123,18.0,173.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,160.0,-0.10193589804350363,18.1,19.2,18.0,0.804689453125,659.0,2109.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,162.5,-0.08643171150753837,16.25,17.3,16.8,0.8271501660156249,255.0,393.0,177.1699981689453
MSTR,MSTR,2026-05-08,0.010958904109589041,C,165.0,-0.07116423937674991,14.5,15.2,14.88,0.8217791259765624,1014.0,2560.0,177.1699981689453
