underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
NFLX,NFLX,2026-05-08,0.010958904109589041,C,40.0,-0.8335610577554298,50.15,52.8,51.97,4.091801760253906,10.0,5.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,50.0,-0.61041750644122,40.15,43.9,42.06,3.9335939160156252,5.0,0.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,60.0,-0.42809594964726544,30.45,33.65,32.2,2.8466825708007812,13.0,48.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,65.0,-0.34805324197372894,25.4,29.1,26.41,1.4765651171875,,62.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,70.0,-0.27394526982000705,20.6,22.75,23.48,1.5986348193359374,2.0,0.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,75.0,-0.20495239833305556,15.25,17.95,17.05,1.3774445190429687,4.0,18.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,80.0,-0.14041387719548448,11.55,12.8,12.15,0.6289099609375001,67.0,87.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,81.0,-0.1279913571969273,10.9,11.95,11.75,0.75586181640625,5.0,62.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,82.0,-0.11572126460511292,9.6,10.6,10.31,0.7836935693359376,49.0,55.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,83.0,-0.10359990407276808,8.55,10.25,10.9,0.632816171875,5.0,42.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,84.0,-0.09162371302605248,7.85,9.0,9.55,0.5898478515625001,7.0,147.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,85.0,-0.07978925537904961,6.9,7.8,7.39,0.500005,12.0,113.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,86.0,-0.06809321561585831,5.7,7.1,6.45,0.7026396923828125,34.0,75.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,87.0,-0.05653239321478229,5.15,5.4,5.3,0.4101621484375,333.0,77.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,88.0,-0.045103697391159624,4.2,4.5,4.32,0.38672488281249995,261.0,77.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,89.0,-0.03380414213722623,3.4,3.6,3.5,0.3530338134765625,127.0,110.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,90.0,-0.022630841539100974,2.68,2.79,2.73,0.3320379296875,466.0,522.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,91.0,-0.011581005352515971,2.0,2.1,2.05,0.3227606787109374,733.0,2069.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,92.0,-0.0006519348203257871,1.5,1.53,1.51,0.3186103295898437,5115.0,4487.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,93.0,0.010158981283889978,1.06,1.09,1.07,0.3198310205078124,9311.0,6541.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,94.0,0.020854270400637746,0.73,0.74,0.74,0.3188544677734374,10094.0,4770.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,95.0,0.03143637973117471,0.48,0.5,0.49,0.3232489550781249,12010.0,5437.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,96.0,0.041907679598470145,0.33,0.34,0.33,0.331061376953125,8182.0,9574.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,97.0,0.05227046663401675,0.22,0.23,0.22,0.3393620751953125,5673.0,6183.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,98.0,0.06252696680120587,0.16,0.17,0.16,0.35645174804687496,4754.0,3783.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,99.0,0.07267933826522391,0.12,0.13,0.13,0.37500625,7257.0,1618.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,100.0,0.08272967411872538,0.1,0.11,0.1,0.39942006835937505,9246.0,12320.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,101.0,0.09268000497189348,0.08,0.09,0.08,0.41992767578125,625.0,825.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,102.0,0.10253230141490513,0.06,0.08,0.07,0.445318046875,789.0,2972.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,103.0,0.11228847636026965,0.06,0.08,0.07,0.4804739453125,470.0,1195.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,104.0,0.12195038727200656,0.05,0.07,0.06,0.5019581054687501,102.0,1193.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,105.0,0.1315198382881573,0.05,0.06,0.05,0.5117236328125,3903.0,4755.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,106.0,0.1409985822427011,0.04,0.07,0.06,0.5429733203125001,74.0,577.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,107.0,0.15038832259254015,0.04,0.05,0.04,0.5585981640625001,660.0,1963.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,108.0,0.1596907152548537,0.04,0.05,0.04,0.585941640625,1492.0,2687.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,109.0,0.1689073703597777,0.04,0.05,0.04,0.6132851171875001,150.0,611.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,110.0,0.17803985392305027,0.04,0.05,0.04,0.64062859375,3823.0,12664.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,111.0,0.18708968944296803,0.03,0.05,0.04,0.6601596484375001,96.0,901.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,112.0,0.19605835942572844,0.02,0.04,0.04,0.6601596484375001,139.0,143.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,113.0,0.2049473068429745,0.02,0.04,0.02,0.6875031250000001,110.0,417.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,114.0,0.21375793652512942,0.02,0.03,0.03,0.6953155468750001,8.0,312.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,115.0,0.22249161649388405,0.02,0.03,0.03,0.7187528125,1669.0,9406.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,116.0,0.23114967923699864,0.01,0.04,0.04,0.7421900781249999,172.0,545.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,117.0,0.23973342292839014,0.01,0.03,0.03,0.7500025,51.0,1827.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,118.0,0.2482441125962988,0.01,0.03,0.03,0.773439765625,75.0,247.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,119.0,0.25668298124216327,0.0,0.01,0.01,0.6875031250000001,3.0,553.0,92.05999755859375
NFLX,NFLX,2026-05-08,0.010958904109589041,C,120.0,0.2650512309126799,0.0,0.02,0.01,0.7656273437500001,316.0,4835.0,92.05999755859375
