underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,130.0,-0.4230027133955235,65.65,71.35,68.73,2.2656293359374997,26.0,0.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,135.0,-0.3852623854126765,60.6,66.35,63.72,1.9218753906250001,19.0,0.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,140.0,-0.3488947412418017,55.7,61.3,58.64,1.8984380078125,26.0,2.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,145.0,-0.3138034214305316,50.8,56.35,53.72,1.9414065429687501,16.0,0.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,150.0,-0.27990186975485015,45.8,50.8,49.1,3.1923848315429684,142.0,0.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,152.5,-0.2633725678036396,43.3,48.85,46.34,1.6640641796875002,17.0,1.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,155.0,-0.2471120469318593,41.0,46.3,43.73,1.69140779296875,162.0,21.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,157.5,-0.2311117055854182,38.35,43.85,41.2,1.5273461132812498,16.0,11.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,160.0,-0.21536334861727904,36.05,41.3,39.5,1.5332054589843749,119.0,22.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,162.5,-0.1998591620813138,33.15,38.85,40.56,1.15625421875,,7.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,165.0,-0.18459168995052538,30.75,36.35,34.23,1.18359783203125,65.0,2.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,167.5,-0.16955381258598487,28.3,33.35,31.07,2.237797374267578,57.0,14.0,198.4499969482422
NVDA,NVDA,2026-05-04,0.0027397260273972603,C,170.0,-0.15473872680084425,25.9,31.35,29.06,1.111332568359375,11.0,21.0,198.4499969482422
