underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,505.0,-0.2888942450193081,166.9,171.19,170.2,2.344242420654296,8.0,0.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,525.0,-0.2500544117030442,146.9,151.35,147.62,2.1142625268554687,29.0,29.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,540.0,-0.2218835347363479,131.91,136.22,134.9,1.8935552197265624,40.0,0.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,550.0,-0.20353439606815132,121.98,126.23,124.11,1.767579287109375,1.0,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,555.0,-0.19448456054823346,116.91,121.24,103.63,1.7060561572265625,,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,560.0,-0.1855158905654731,111.98,116.2,116.36,1.6354998693847653,1.0,2.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,565.0,-0.176626943148227,107.0,111.16,95.54,1.5656759997558591,,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,570.0,-0.16781631346607215,101.91,105.87,100.67,1.4516628979492188,10.0,11.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,575.0,-0.15908263349731747,96.91,101.18,99.96,1.4440945764160156,3.0,3.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,580.0,-0.15042457075420293,91.91,96.24,84.26,1.3913604650878906,9.0,10.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,585.0,-0.1418408270628115,86.91,91.21,89.53,1.32422212890625,1.0,68.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,590.0,-0.13333013739490276,81.91,86.22,84.78,1.263431417236328,13.0,13.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,595.0,-0.12489126874903819,76.93,81.22,78.94,1.201175869140625,332.0,21.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,600.0,-0.11652301907852163,71.93,76.18,74.05,1.133060975341797,18.0,28.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,601.0,-0.1148577397594604,70.92,75.18,57.03,1.1206098657226562,,18.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,604.0,-0.10987847635985298,67.92,72.19,54.27,1.0847213732910155,4.0,24.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,605.0,-0.10822421626382646,66.92,71.25,68.52,1.080326864013672,7.0,48.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,606.0,-0.10657268822535346,65.99,70.23,69.5,1.0651902209472657,13.0,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,607.0,-0.10492388323516975,64.92,69.32,54.93,1.0642136633300785,,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,608.0,-0.10327779232850098,63.93,68.24,65.94,1.041264559326172,1.0,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,609.0,-0.10163440658477095,62.93,67.32,51.93,1.0390673046875003,,1.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,610.0,-0.09999371712731103,61.92,65.88,64.19,0.9682620361328125,98.0,34.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,611.0,-0.09835571512307262,60.93,65.39,50.01,1.0224658251953125,2.0,3.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,612.0,-0.09672039178234185,60.0,64.39,60.68,1.009770576171875,2.0,4.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,613.0,-0.09508773835845652,59.02,63.24,42.81,0.9785158398437501,5.0,7.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,614.0,-0.09345774614752556,58.0,62.2,41.12,0.9609378906249999,15.0,6.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,615.0,-0.09183040648815013,56.92,61.23,58.58,0.9521489160156249,9.0,47.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,616.0,-0.09020571076114821,56.0,60.22,57.76,0.9382330395507812,31.0,31.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,617.0,-0.08858365038928016,54.93,58.89,57.8,0.8840343627929688,1.0,45.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,618.0,-0.08696421683697719,53.93,58.22,57.66,0.913086806640625,12.0,35.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,619.0,-0.08534740161007184,52.93,57.2,55.37,0.8980723083496092,3.0,27.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,620.0,-0.08373319625553069,51.93,56.23,53.55,0.8889171264648437,27.0,126.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,621.0,-0.08212159236118914,50.94,55.26,52.95,0.8798840136718749,10.0,47.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,622.0,-0.08051258155548857,49.99,54.2,53.74,0.8601088208007812,4.0,86.0,674.1500244140625
QQQ,QQQ,2026-05-04,0.0027397260273972603,C,623.0,-0.07890615550721486,48.93,53.21,52.29,0.848634326171875,5.0,71.0,674.1500244140625
