underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
SPY,SPY,2026-05-04,0.0027397260273972603,C,500.0,-0.3655455179847554,218.99,221.78,222.64,2.5483434729003904,1.0,0,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,510.0,-0.3457428906885758,208.99,211.78,201.47,2.4282265856933596,,6,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,515.0,-0.33598671574321104,203.99,206.78,197.07,2.3691447021484366,,5,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,545.0,-0.2793678217437031,173.99,176.78,166.46,2.0224658813476566,,2,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,610.0,-0.1666946592395903,109.0,111.79,101.39,1.3139682739257812,,1,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,625.0,-0.14240196667054567,94.0,96.8,83.76,1.1569866369628907,,2,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,630.0,-0.13443379702136876,89.0,91.8,84.68,1.1040083862304688,,3,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,635.0,-0.12652861751425548,84.0,86.8,78.97,1.0512742749023438,2.0,1,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,640.0,-0.11868544005322969,79.01,81.8,70.85,0.9985351708984375,2.0,2,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,645.0,-0.11090329961117472,74.01,75.93,64.92,0.7334011035156249,1.0,5,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,650.0,-0.1031812535172644,69.01,71.81,69.31,0.8942881665039062,2.0,11,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,655.0,-0.09551838077169525,64.01,66.48,67.14,0.7836935693359376,15.0,4,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,660.0,-0.08791378138647593,59.02,61.81,63.07,0.788088056640625,4.0,51,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,665.0,-0.080366575751093,54.02,56.81,56.55,0.7346217944335938,4.0,46,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,666.0,-0.07886394586655807,53.02,55.81,57.25,0.7238797143554687,2.0,1,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,667.0,-0.07736357049132343,52.02,54.81,55.3,0.7131376342773439,9.0,27,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,668.0,-0.0758654428703015,51.02,53.81,52.7,0.7023955541992188,6.0,10,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,669.0,-0.07436955627871872,50.02,52.81,53.97,0.6916534741210938,30.0,6,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,670.0,-0.07287590402193538,49.02,51.81,52.62,0.680911394042969,173.0,26,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,671.0,-0.0713844794352654,48.02,50.82,49.66,0.6713900048828126,48.0,9,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,672.0,-0.0698952758837976,47.02,49.82,51.48,0.6606479248046876,30.0,19,720.6500244140625
SPY,SPY,2026-05-04,0.0027397260273972603,C,673.0,-0.0684082867622194,46.02,48.82,50.4,0.6499058447265625,33.0,20,720.6500244140625
