underlying,equity_ticker,expiration,T,side,strike,log_moneyness,bid,ask,last,iv,volume,open_interest,spot_at_fetch
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,280.0,-0.3334575115031923,109.2,112.5,94.24,1.609376953125,,0.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,285.0,-0.31575793440379135,104.2,107.5,92.35,1.5312523437499999,,0.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,290.0,-0.2983661916919222,99.2,102.5,87.42,1.453127734375,,1.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,295.0,-0.2812717583326221,94.2,97.45,82.02,1.1875040625,,1.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,300.0,-0.2644646400162408,89.2,92.45,87.8,1.125004375,4.0,6.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,310.0,-0.23167481719324995,79.2,82.5,71.05,1.1484417578125,,1.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,320.0,-0.19992611887866965,69.2,72.5,62.5,1.0078174609375,2.0,6.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,322.5,-0.1921439784366147,66.7,70.0,48.85,0.9687503125,20.0,20.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,325.0,-0.1844219323427044,64.25,67.45,70.08,0.937500625,1.0,35.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,327.5,-0.17675905959713525,61.7,65.0,51.25,0.8984385156249999,3.0,14.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,330.0,-0.16915446021191596,59.2,62.5,42.5,0.867188828125,2.0,11.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,332.5,-0.16160725457653305,56.75,60.0,49.71,0.8906260937499999,,17.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,335.0,-0.15411658284737545,54.25,57.5,60.13,0.851563984375,1.0,3.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,337.5,-0.14668160435985736,51.9,54.2,57.68,1.272952854003906,9.0,2.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,340.0,-0.1393014970622348,50.2,51.3,57.08,1.0800827246093752,35.0,7.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,342.5,-0.1319754569701619,46.9,49.85,54.33,0.7421900781249999,12.0,2.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,345.0,-0.1247026976410821,44.85,46.85,46.55,0.6562534375000001,41.0,44.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,347.5,-0.11748244966759504,41.75,45.0,47.75,0.6699251757812501,1.0,26.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,350.0,-0.1103139601889825,39.3,42.5,44.19,0.6660189648437502,35.0,161.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,352.5,-0.10319649242011852,37.35,38.9,40.75,0.8789074609374999,47.0,21.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,355.0,-0.09612932519702606,35.35,36.6,36.14,0.6513706738281251,48.0,69.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,357.5,-0.08911175253837952,32.4,34.4,33.57,0.55273884765625,31.0,59.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,360.0,-0.08214308322228618,30.05,31.65,30.91,0.7983418603515625,157.0,971.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,362.5,-0.0752226403777124,27.4,29.45,28.15,0.8100604931640624,42.0,50.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,365.0,-0.06834976108995036,25.05,26.65,26.09,0.694338994140625,543.0,367.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,367.5,-0.06152379601955049,22.85,24.2,23.4,0.6523472265625001,413.0,458.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,370.0,-0.05474410903417173,20.25,21.7,20.98,0.5988809643554689,7882.0,1081.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,372.5,-0.048010076852827654,18.05,19.1,18.05,0.526371923828125,7754.0,638.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,375.0,-0.04132108870203104,15.7,16.55,16.15,0.4633842724609375,14222.0,1751.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,377.5,-0.034676545983362464,13.45,14.15,13.85,0.42578699218750005,5897.0,1280.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,380.0,-0.0280758619520104,11.15,11.9,11.4,0.40430283203125,20343.0,2060.0,390.82000732421875
TSLA,TSLA,2026-05-04,0.0027397260273972603,C,382.5,-0.021518461405851327,9.15,9.8,9.65,0.39038695556640624,14738.0,1003.0,390.82000732421875
