asset,category,full_ticker,dex,launch_date,days_live,ibkr_proxy,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,calmar,calmar_bench,max_dd,max_dd_bench,t_stat,t_p,t_sig,fold_sharpe_mean,fold_sharpe_std,hansen_spa_p,hansen_spa_sig,dsr,dsr_sig,romano_wolf_p,romano_wolf_sig,n_folds,n_trials,fills_per_day,spread_ann,iv_arb_ann,greeks_ann,funding_ann
XYZ100,index_etf,xyz:XYZ100,xyz,2025-10-13,203,QQQ,0.36493249762397595,0.2060510527862103,0.15888144483776565,2.5476768021289216,1.2938483778164214,5.671684706093113,1.6824488313236314,0.06434287456633962,0.12247091795600343,3.0370155216760493,0.0013927219400670099,True,2.9354457137303935,2.9173004726517826,0.0,True,0.6933747308182651,False,0.0,True,4,32,20.970443349753694,0.18007591905882353,0.023404385812853708,-0.010486528882522727,0.0
TSLA,stock,xyz:TSLA,xyz,2025-11-13,172,TSLA,0.10926662886557184,-0.40885182811861404,0.5181184569841859,0.574995768256134,-1.2656512467111067,1.1518742378290292,-1.3730887482526444,0.09485985993706207,0.2977606717984601,2.4913059523572634,0.00698849072681762,True,0.06375499407546137,2.2448085956406496,0.0,True,0.15933559833608568,False,0.0,True,4,32,26.162790697674417,0.3626496837209302,0.0560446946044824,-0.3261302201269053,0.0
NVDA,stock,xyz:NVDA,xyz,2025-11-12,173,NVDA,0.10822016447860104,0.19479333001719953,-0.08657316553859849,0.5490940296336898,0.6350316284513579,1.1065776599133401,1.1713890925328743,0.09779717086198553,0.16629259334829669,-0.4739913912185952,0.6818554351439161,False,0.5319718020106227,2.407917458191897,1.0,False,0.1562289189619237,False,0.654,False,4,32,32.421965317919074,0.32771750232558144,0.05052796713429905,-0.8143894172009005,0.0
GOLD,commodity,xyz:GOLD,xyz,2025-12-22,133,GLD,0.24510530835078145,-0.1554584820001233,0.4005637903509047,0.9327133476311156,-0.5433401247748079,1.8287828981456862,-0.8549819648774265,0.1340264656889063,0.18182662136318914,3.706071347971303,0.00017963450654157054,True,0.6377872905324908,2.163943353446329,0.0,True,0.2731084735429046,False,0.0,True,4,32,26.345864661654137,0.27241576203208556,0.028289964281828093,0.0025338573856458204,0.0
HOOD,stock,cash:HOOD,cash,2026-01-28,96,HOOD,0.6962270286733383,-0.008969722640999045,0.7051967513143373,1.7004201285546598,-0.014173612934188529,7.894298832469401,-0.04181690483040665,0.08819365005663876,0.2144999176141038,1.2675015291582585,0.10515812656412105,False,1.378261961623226,0.3081653695686894,0.07,False,0.45335104271239696,False,0.07,False,2,32,31.125,0.3593352,-0.01872487603838473,0.0147449743910141,0.0
INTC,stock,xyz:INTC,xyz,2025-12-03,152,INTC,2.7227512703267145,1.797597558907301,0.9251537114194135,3.9662037221050963,2.5685061414835006,19.92100894624912,6.980344177677956,0.1366773780220291,0.2575227686703094,3.717966317764751,0.00015826518559070024,True,2.477037776875554,3.7983233765953415,0.0,True,0.9475170040562766,False,0.0,True,4,32,41.01315789473684,0.4910995894736844,0.022008576546638247,-0.028573544170690888,0.0
PLTR,stock,xyz:PLTR,xyz,2025-11-14,171,PLTR,-0.15919835043083203,-0.5361722483540466,0.3769738979232146,-0.7214116411225449,-1.1054131629450394,-1.0054057170542938,-1.5177474274274003,0.15834239623906476,0.3532684283727398,0.8395104893556657,0.20136204881337605,False,-0.5768766440704474,3.1953387053873867,0.124,False,0.02954898265612041,False,0.124,False,4,32,39.24561403508772,0.439262658139535,0.07761696757191945,-0.8346138074848591,0.0
COIN,stock,xyz:COIN,xyz,2025-11-25,160,COIN,0.3520199383131552,-0.4036232707024936,0.7556432090156489,1.0767930748237655,-0.6084422334357522,2.3194527230753303,-0.9133974634647395,0.1517685335040659,0.4418922614164616,1.373228186952151,0.08613165848283011,False,0.3212965709731334,2.5770342763761858,0.064,False,0.2651378334428447,False,0.064,False,4,32,44.65,0.5359447800000001,0.10705826343110164,-0.9292500000000005,0.0
META,stock,xyz:META,xyz,2025-11-20,165,META,-0.020311868270289475,-0.1420553942603311,0.12174352599004162,-0.06739124160373862,-0.432826201175048,-0.09476191492828734,-0.4905095902854834,0.21434632558513428,0.2896077815270704,0.8336193081323965,0.2030492290847783,False,0.3372677446584394,2.0029897661180494,0.26,False,0.08013267328321227,False,0.26,False,4,32,29.193939393939395,0.2939299975609756,0.04369954173970372,-0.00789578348584674,0.0
AAPL,stock,xyz:AAPL,xyz,2025-11-21,164,AAPL,0.30399940182647284,0.06045863350609515,0.2435407683203777,1.8880898289061743,0.29492595482439143,4.169201414772328,0.5165112540751405,0.07291549905680766,0.11705191906099262,2.4201108464007937,0.008489015472411654,True,1.258603257885874,3.72232390361647,0.004,True,0.4883834646735358,False,0.004,True,4,32,26.902439024390244,0.25173939512195126,0.0067257269997579175,0.0001591813589293509,0.0
MSFT,stock,xyz:MSFT,xyz,2025-11-19,166,MSFT,0.11632020830907072,-0.32454233137035615,0.4408625396794269,0.8004871475609514,-1.2737778103936461,1.2563223450613343,-1.197031397683375,0.09258786868380654,0.2711226555948705,2.6926704925762386,0.004030240448318234,True,-0.2006895498400627,2.678636909181224,0.004,True,0.21265320986549519,False,0.004,True,4,32,27.43975903614458,0.2685960804878049,0.03267791525286361,-0.09403514993142416,0.0
ORCL,stock,xyz:ORCL,xyz,2025-12-05,150,ORCL,0.41081450887888626,-0.34477883830357137,0.7555933471824576,1.6049117888529862,-0.6822691927527669,4.400480652970117,-1.1067858887402842,0.09335673561059878,0.3115135834411387,1.8783804917782694,0.03150060134279775,True,0.9489267656854379,2.2325091168013453,0.016,True,0.409296569885009,False,0.016,True,4,32,39.63333333333333,0.45874583641536276,0.02007765313852058,-0.007959540090909848,0.0
