asset,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,sortino,calmar,calmar_bench,max_dd,max_dd_bench,info_ratio,total_ret,bench_total,n_bars,total_fills,fills_per_day,spread_ann,iv_arb_ann,n_levels,level_step_bps,order_size,crisis_vol,crisis_trim,ema_len,iv_arb_weight,train_score,train_bars,test_bars,n_folds,sharpe_std,oos_pct,t_stat,t_df,t_pval,t_sig,sr_pval,sr_sig,boot_ci_lo,boot_ci_hi,boot_pval,boot_sig,perm_pval,perm_sig,dsr,dsr_sig,spa_pval,spa_sig,fold_sharpe_mean,best_greek_strategy,best_greek_sharpe,greeks_ensemble_ret
QQQ,0.503082,-0.069348,0.572430,2.075007,-0.277184,2.388372,6.122729,-0.559009,0.082166,0.124055,22.360091,0.165316,-0.020869,111,1931,17.396396,0.586629,-0.014199,18,15,0.020000,0.500000,0.150000,10,0.500000,4.643220,143,111,3,0.351919,0.600000,12.330725,110,0.000000,True,0.000000,True,-0.328900,4.913446,0.043333,False,0.000000,True,0.000000,False,0.000000,True,2.052569,Charm Trade,91.062782,22.014853
NVDA,0.906537,-0.570445,1.476982,1.716846,-1.062257,2.419456,6.159065,-2.005298,0.147187,0.284469,19.900657,0.259835,-0.135277,93,2022,21.741935,1.494739,-0.017756,18,30,0.020000,0.500000,0.150000,10,0.500000,9.329818,119,93,3,1.651245,0.600000,10.045290,92,0.000000,True,0.000000,True,-0.861847,4.684071,0.104667,False,0.000000,True,0.000000,False,0.000000,True,1.770859,Charm Trade,38.896457,12.355045
TSLA,0.123262,-1.246037,1.369299,0.222670,-2.202666,0.305655,0.409765,-3.092978,0.300812,0.402860,22.206800,0.030860,-0.264527,90,1297,14.411111,1.313015,0.056284,18,30,0.020000,0.350000,0.300000,10,0.300000,14.447574,145,90,3,5.211432,0.584416,11.027087,89,0.000000,True,0.031752,True,-4.019571,4.827150,0.439000,False,0.000000,True,0.000000,False,0.000000,True,0.755559,Charm Trade,33.031542,13.571564
PLTR,0.320406,-0.772306,1.092712,0.796034,-1.903995,1.160808,2.047235,-3.516351,0.156507,0.219633,18.863112,0.082209,-0.173398,90,871,9.677778,0.990657,0.102055,18,50,0.020000,0.500000,0.300000,10,0.500000,13.109724,145,90,3,3.511535,0.588235,9.366734,89,0.000000,True,0.000000,True,-3.254446,5.580330,0.406333,False,0.000000,True,0.000000,False,0.000000,True,0.246731,Charm Trade,33.727664,1.314715
AMZN,1.027704,-0.195113,1.222817,2.442008,-0.476084,4.489521,5.925223,-0.881111,0.173446,0.221439,29.174259,0.277570,-0.045441,87,2955,33.965517,1.275511,-0.052695,18,15,0.020000,0.500000,0.150000,10,0.300000,6.129923,140,87,3,1.318406,0.583893,14.243379,86,0.000000,True,0.000000,True,-1.234119,5.527352,0.084667,False,0.000000,True,0.014940,False,0.000000,True,2.890685,Charm Trade,172.886265,8.131858
GOOGL,0.119541,-1.051517,1.171059,0.314594,-2.715727,0.485423,1.010806,-4.654330,0.118263,0.225922,23.784939,0.028903,-0.221694,87,1504,17.287356,1.124646,0.046412,18,30,0.020000,0.500000,0.150000,10,0.500000,10.197797,140,87,3,3.926327,0.583893,11.612219,86,0.000000,True,0.001805,True,-3.844330,3.408884,0.449667,False,0.000000,True,0.000000,False,0.000000,True,-0.866446,Charm Trade,56.206440,7.035667
MSFT,1.687459,0.768006,0.919454,5.359069,2.589430,12.080326,32.445699,11.924378,0.052009,0.064406,22.044823,0.495135,0.200885,87,2275,26.149425,0.932747,-0.013293,18,15,0.020000,0.500000,0.150000,10,0.300000,15.316564,140,87,3,4.423499,0.587838,10.762665,86,0.000000,True,0.000000,True,1.784125,8.785417,0.000667,True,0.000000,True,1.000000,True,0.000000,True,5.361751,Charm Trade,265.719583,25.630001
META,2.812456,1.706219,1.106237,7.819406,5.042215,20.205603,34.297709,15.263298,0.082001,0.111786,23.870444,0.954953,0.501835,87,1200,13.793103,1.133262,-0.027025,18,30,0.020000,0.500000,0.150000,10,0.300000,14.032718,140,87,3,8.914386,0.591837,11.653965,86,0.000000,True,0.000000,True,2.311396,13.496849,0.001667,True,0.000000,True,1.000000,True,0.000000,True,7.672199,Vanna Trade,0.000000,7.203989
AAPL,1.592692,0.686830,0.905863,4.580909,2.057336,11.336723,13.766205,4.270308,0.115696,0.160838,32.497869,0.461741,0.177873,87,1986,22.827586,0.946221,-0.040358,18,15,0.020000,0.350000,0.150000,10,0.500000,7.847607,140,87,3,2.003380,0.595890,15.866023,86,0.000000,True,0.000000,True,-0.350172,8.414956,0.033000,False,0.000000,True,0.999998,True,0.000000,True,4.399514,Vanna Trade,0.000000,1.708835
COIN,0.624779,-1.711098,2.335877,0.770200,-2.155189,1.169277,2.293903,-3.815387,0.272365,0.448473,19.211520,0.154636,-0.325502,84,3046,36.261905,2.341056,-0.005179,18,30,0.020000,0.250000,0.300000,10,0.300000,11.196328,135,84,3,4.391643,0.591549,9.216265,83,0.000000,True,0.000000,True,-2.621082,3.373388,0.309000,False,0.000000,True,0.000000,False,0.000000,True,0.463303,Gamma Scalping,0.000000,0.448354
