asset,asset_type,asset_name,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,sortino,calmar,calmar_bench,max_dd,max_dd_bench,info_ratio,total_ret,bench_total,n_bars,total_fills,fills_per_day,spread_ann,iv_arb_ann,n_levels,level_step_bps,order_size,crisis_vol,crisis_trim,ema_len,sr_pval,sr_sig,boot_ci_lo,boot_ci_hi,boot_pval,boot_sig,perm_pval,perm_sig
AAPL,stock,Apple,1.168328,0.293790,0.874538,4.747185,1.034627,8.073948,11.712600,0.916769,0.099750,0.320463,9.803620,9.298723,0.797533,503,20501,40.757455,0.880214,-0.105456,20,8,0.030000,0.280000,0.300000,10,0.000000,True,3.376555,6.034266,0.000000,True,0.000000,True
MSFT,stock,Microsoft,0.797304,0.069381,0.727923,3.365256,0.281272,4.452104,7.346219,0.211635,0.108533,0.327834,13.676375,3.910834,0.148535,503,18788,37.351889,0.803260,-0.091136,20,8,0.030000,0.280000,0.300000,10,0.000000,True,1.947918,4.931628,0.000000,True,0.000000,True
NVDA,stock,NVIDIA,1.312733,0.534573,0.778160,3.146837,1.102611,4.211597,5.633143,1.616694,0.233037,0.330658,5.617239,12.739252,1.906719,503,27591,54.852883,1.328535,-0.199478,20,8,0.030000,0.280000,0.200000,5,0.000000,True,1.695945,4.839088,0.000000,True,0.000000,True
TSLA,stock,Tesla,1.765151,0.561377,1.203774,3.486527,0.924113,6.029091,10.562344,1.096722,0.167117,0.511868,5.280779,32.895995,2.066468,503,32439,64.491054,1.640395,-0.246659,20,8,0.030000,0.220000,0.300000,5,0.000000,True,2.110493,4.918123,0.000000,True,0.000000,True
AMZN,stock,Amazon,1.015624,0.265545,0.750079,3.514728,0.826261,4.764325,6.019444,0.907504,0.168724,0.292610,8.403865,6.592929,0.698994,503,20660,41.073559,0.970612,-0.130147,20,8,0.030000,0.280000,0.300000,10,0.000000,True,2.000668,5.181701,0.000000,True,0.000000,True
GOOG,stock,Alphabet,1.372164,0.471159,0.901005,4.801279,1.591774,8.160498,8.759127,1.650510,0.156655,0.285463,15.868974,14.469692,1.561129,503,21650,43.041750,0.985776,-0.123900,20,8,0.030000,0.280000,0.300000,10,0.000000,True,3.337710,6.251054,0.000000,True,0.000000,True
META,stock,Meta,1.006229,0.241555,0.764674,3.261981,0.671805,4.478842,7.040335,0.750765,0.142923,0.321745,6.536294,6.451870,0.619555,503,21565,42.872763,1.025153,-0.130940,20,8,0.030000,0.280000,0.300000,10,0.000000,True,1.927294,4.802650,0.000000,True,0.000000,True
JPM,stock,JPMorgan,1.013902,0.297239,0.716663,4.325016,1.185704,5.994522,7.077210,1.259839,0.143263,0.235934,16.905091,6.566879,0.809949,503,20771,41.294235,0.858150,-0.097584,20,8,0.030000,0.280000,0.300000,10,0.000000,True,2.954172,5.824161,0.000000,True,0.000000,True
SPY,index_etf,S&P 500,0.644143,0.207006,0.437137,4.601956,1.243546,5.985889,7.211756,1.130245,0.089318,0.183151,8.551252,2.617304,0.511633,503,13521,26.880716,0.552996,-0.063863,20,8,0.030000,0.180000,0.300000,10,0.000000,True,2.934901,6.568135,0.000000,True,0.000000,True
QQQ,index_etf,Nasdaq 100,0.775106,0.259432,0.515674,4.537603,1.225398,6.158058,9.642170,1.170188,0.080387,0.221701,6.769796,3.697996,0.678388,503,14995,29.811133,0.681689,-0.084256,20,8,0.030000,0.180000,0.300000,10,0.000000,True,2.921988,6.370533,0.000000,True,0.000000,True
IWM,index_etf,Russell 2000,0.835556,0.212475,0.623081,3.887153,0.974420,6.454258,7.841426,0.792995,0.106557,0.267940,23.172190,4.300474,0.528225,503,17901,35.588469,0.735288,-0.091399,20,8,0.030000,0.280000,0.100000,10,0.000000,True,2.599861,5.338068,0.000000,True,0.000000,True
DIA,index_etf,Dow Jones,0.659768,0.161806,0.497962,4.672258,1.085801,7.713304,10.213468,1.043784,0.064598,0.155018,14.994755,2.731898,0.381223,503,13963,27.759443,0.544884,-0.059590,20,8,0.030000,0.180000,0.300000,10,0.000000,True,3.282456,6.308651,0.000000,True,0.000000,True
EWY,index_etf,South Korea,0.897249,0.548016,0.349234,3.165549,1.698947,4.382192,5.330931,2.143402,0.168310,0.255676,3.633778,4.995075,1.985768,503,14074,27.980119,0.724236,-0.128535,20,8,0.030000,0.180000,0.300000,10,0.000000,True,1.627154,4.847756,0.000000,True,0.000000,True
EWZ,index_etf,Brazil,0.797665,0.215754,0.581911,3.461700,0.877973,4.811324,8.717850,0.888233,0.091498,0.242903,13.026059,3.914376,0.538261,503,16693,33.186879,0.767467,-0.104065,20,8,0.030000,0.280000,0.300000,10,0.000000,True,2.140028,4.975402,0.000000,True,0.000000,True
EFA,index_etf,EAFE,0.606364,0.185634,0.420730,4.015613,1.152446,5.829226,6.106281,1.345986,0.099302,0.137916,14.142972,2.354564,0.448503,503,11256,22.377734,0.518387,-0.066350,20,8,0.030000,0.180000,0.300000,10,0.000000,True,2.598023,5.604767,0.000000,True,0.000000,True
EEM,index_etf,Emerging Mkts,0.675468,0.265903,0.409565,3.912245,1.408318,5.585306,6.356738,1.603645,0.106260,0.165811,8.565105,2.850702,0.700207,503,11720,23.300199,0.545476,-0.076409,20,8,0.030000,0.180000,0.300000,10,0.000000,True,2.482927,5.521177,0.000000,True,0.000000,True
GLD,commodity,Gold,0.872961,0.372506,0.500455,3.890542,1.649908,4.949761,6.241635,2.088583,0.139861,0.178354,15.979707,4.711363,1.103357,503,13181,26.204771,0.591605,-0.093497,20,8,0.030000,0.280000,0.100000,10,0.000000,True,2.674581,5.339068,0.000000,True,0.000000,True
SLV,commodity,Silver,1.197458,0.634621,0.562836,2.784390,1.380192,2.916050,4.661648,1.759569,0.256874,0.360669,4.899739,9.915282,2.549207,503,17979,35.743539,0.899171,-0.168083,20,8,0.030000,0.180000,0.300000,10,0.000000,True,1.543469,4.469235,0.000000,True,0.000000,True
USO,commodity,Crude Oil,1.097667,0.368502,0.729165,2.994238,0.997067,4.655281,6.966133,1.483838,0.157572,0.248344,13.796113,7.943966,1.086613,503,17402,34.596421,0.860388,-0.142078,20,8,0.030000,0.180000,0.100000,10,0.000000,True,1.782367,4.159887,0.000000,True,0.000000,True
