asset,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,sortino,calmar,max_dd,max_dd_bench,info_ratio,total_ret,bench_total,n_bars,total_fills,fills_per_day,spread_ann,iv_arb_ann,funding_ann,t_stat,t_df,t_pval,t_sig,sr_pval,sr_sig,boot_ci_lo,boot_ci_hi,boot_pval,boot_sig,perm_pval,perm_sig,best_greek,best_greek_sharpe,avg_funding_daily
QQQ,21.348705,-0.145387,21.494092,17.910939,-0.600470,132.805630,324.313592,0.065827,0.123349,18.835613,1495.973043,-0.048571,125,1665,13.320000,0.475354,0.051257,0.069490,11.022709,124,0.000000,True,0.000000,True,9.160069,32.952552,0.000000,True,0.000000,True,Charm Trade,76.412701,-0.015242
NVDA,12.728870,-0.464844,13.193714,11.184539,-0.868584,65.926916,92.261063,0.137966,0.276022,11.710871,26.467229,-0.113954,95,2375,25.000000,0.990714,0.078940,0.168883,5.974541,94,0.000000,True,0.000000,True,2.822738,20.291548,0.003500,True,0.000000,True,Charm Trade,38.316621,-0.036084
TSLA,13.477031,-1.012738,14.489769,11.529601,-1.758542,74.204865,222.285219,0.060629,0.404414,11.651611,31.162370,-0.229576,94,2606,27.723404,1.279510,-0.139710,-0.105338,5.912940,93,0.000000,True,0.000000,True,5.238324,19.561633,0.000500,True,0.000000,True,Charm Trade,33.031542,-0.022509
PLTR,0.604605,-1.479406,2.084011,1.569129,-3.356998,1.929400,4.370630,0.138334,0.266637,12.172952,0.166549,-0.314046,93,2257,24.268817,0.970389,0.342961,0.338614,6.144562,92,0.000000,True,0.000000,True,-2.570407,5.537370,0.227000,False,0.000000,True,Charm Trade,33.727664,-0.081169
AMZN,1.579873,-0.286028,1.865901,4.356488,-0.711020,7.902204,8.159139,0.193632,0.221439,7.352170,0.469952,-0.067367,89,2060,23.146067,0.878603,-0.035339,0.030205,3.630481,88,0.000237,True,0.000000,True,-3.559750,12.975276,0.151000,False,0.001000,True,Gamma Scalping,0.000000,-0.011836
GOOGL,0.461079,-0.692191,1.153270,1.080206,-1.738975,1.701836,1.741782,0.264717,0.170591,5.024220,0.118991,-0.155306,89,2221,24.955056,0.976429,0.041252,-0.020554,2.480945,88,0.007503,True,0.000000,True,-5.574480,7.485868,0.385500,False,0.007500,True,Gamma Scalping,0.000000,0.000123
MSFT,7.823752,0.877523,6.946229,13.796398,2.927874,45.542364,155.587792,0.050285,0.072259,13.230210,5.594754,0.235613,88,2074,23.568182,0.856967,-0.068220,-0.179214,6.496234,87,0.000000,True,0.000000,True,5.700023,25.265832,0.000000,True,0.000000,True,Gamma Scalping,0.000000,0.027165
META,8.680922,1.634006,7.046915,11.520898,4.772820,44.576553,76.713901,0.113160,0.111786,10.333315,6.918100,0.476206,87,2105,24.195402,1.088405,-0.115780,-0.444550,5.044903,86,0.000001,True,0.000000,True,1.844910,22.537301,0.009500,True,0.000000,True,Vanna Trade,0.000000,0.066246
AAPL,2.824666,0.820864,2.003802,6.729631,2.424904,15.837259,19.860898,0.142222,0.147861,9.484872,0.945536,0.213379,86,1805,20.988372,0.941146,0.006794,-0.010587,4.603989,85,0.000007,True,0.000000,True,-2.520478,15.078326,0.061000,False,0.000000,True,Vanna Trade,0.000000,0.001707
COIN,0.029005,-2.107065,2.136070,0.052299,-2.659233,0.071853,0.161162,0.179973,0.439769,5.791643,0.006537,-0.377099,82,2618,31.926829,1.303166,-0.000277,0.030735,2.745126,81,0.003724,True,0.282932,False,-2.970206,3.277617,0.474500,False,0.001500,True,Gamma Scalping,0.000000,-0.039732
MSTR,4.464187,-4.026570,8.490757,5.116732,-3.143758,9.112925,17.134460,0.260539,0.670075,9.793306,1.502521,-0.562806,75,3589,47.853333,2.056556,-0.098438,-0.235600,4.439290,74,0.000015,True,0.000000,True,-2.945767,12.275531,0.158000,False,0.000000,True,Gamma Scalping,0.000000,-0.056035
AMD,0.390915,0.187143,0.203772,0.806777,0.313277,1.111374,3.218340,0.121465,0.134659,0.745800,0.081320,0.038138,73,2837,38.863014,1.587746,-0.064333,-0.244395,0.333532,72,0.369851,False,0.000000,True,-2.099136,3.912103,0.300500,False,0.371500,False,Gamma Scalping,0.000000,0.031201
NFLX,-0.053976,-0.550928,0.496951,-0.132814,-1.332906,-0.172574,-0.181294,0.297729,0.301812,2.457344,-0.010152,-0.098908,69,2185,31.666667,1.348635,-0.037375,-0.108583,1.068425,68,0.144554,False,0.814997,False,-6.551011,6.876960,0.521000,False,0.148000,False,Gamma Scalping,0.000000,0.005539
GOLD,5.396744,0.723160,4.673584,6.084156,4.182951,34.592090,118.125746,0.045686,0.042763,5.585930,1.614477,0.137442,65,878,13.507692,0.489808,-0.021851,-0.240871,2.357250,64,0.010740,True,0.000000,True,0.245332,10.732599,0.021500,True,0.001000,True,Gamma Scalping,0.000000,0.031757
SILVER,0.628665,0.668618,-0.039954,2.448906,2.810282,4.971879,12.052586,0.052160,0.044451,-1.129319,0.108871,0.116177,60,1147,19.116667,0.668753,-0.083822,-0.279241,-0.457874,59,0.675637,False,0.000000,True,0.030553,4.011895,0.023500,True,0.672000,False,Gamma Scalping,0.000000,0.037491
